id,year,author_or_institution,title,source_type,book_use,url
fda-expiration-dates,2026,U.S. Food and Drug Administration,Expiration Dates - Questions and Answers,Regulatory guidance,"Chapters 1 and 5: expiration as supported stability boundary rather than instantaneous physical failure",https://www.fda.gov/drugs/pharmaceutical-quality-resources/expiration-dates-questions-and-answers
uspto-patent-process,2026,U.S. Patent and Trademark Office,How to apply for a patent,Government guidance,"Chapters 1 and 11: patent term as intentionally temporary legal status",https://www.uspto.gov/patents/basics/patent-process-overview
rfc6749,2012,IETF / RFC Editor,RFC 6749: The OAuth 2.0 Authorization Framework,Internet standard,"Chapters 1 and 14: expires_in and short-lived access-token authority",https://www.rfc-editor.org/rfc/rfc6749.html
nist-sp800-57r5,2020,National Institute of Standards and Technology,SP 800-57 Part 1 Rev. 5: Recommendation for Key Management,Technical standard,"Chapters 2 7 and 14: cryptoperiods and bounded exposure",https://csrc.nist.gov/pubs/sp/800/57/pt1/r5/final
state-passport-faq,2026,U.S. Department of State,Frequently Asked Questions about Passport Services,Government guidance,"Prologue and Chapter 3: passport validity and remaining-validity travel constraints",https://travel.state.gov/en/passports/contact-support/faq.html
mbc-cme,2026,Medical Board of California,Continuing Medical Education,State regulator guidance,"Chapters 4 and 16: recurring professional-license renewal obligations",https://mbc.ca.gov/Licensing/Physicians-and-Surgeons/Renew/Current-Status/Continuing-Medical-Education.aspx
usda-food-dating,2025,U.S. Department of Agriculture FSIS,Food Product Dating,Government guidance,"Chapter 6: distinction among quality inventory and safety meanings in food date labels",https://www.fsis.usda.gov/food-safety/safe-food-handling-and-preparation/food-safety-basics/food-product-dating
nist-sp800-63b4,2025,National Institute of Standards and Technology,SP 800-63B-4: Authentication and Authenticator Management,Technical standard,"Chapter 8: periodic password rotation counterexample",https://pages.nist.gov/800-63-4/sp800-63b.html
cornell-lease,2026,Cornell Legal Information Institute,lease,Legal reference,"Chapter 9: leases as possession or use for a specified term",https://www.law.cornell.edu/wex/lease
cornell-option,2026,Cornell Legal Information Institute,option,Legal reference,"Chapter 9: options as rights exercisable within a bounded period",https://www.law.cornell.edu/wex/option
sec-stated-maturity,2026,U.S. Securities and Exchange Commission filing,Principal Amount Stated Maturity and Maturity,Primary securities filing,"Chapter 10: stated maturity as scheduled principal due date",https://www.sec.gov/Archives/edgar/data/1018963/000119312526257707/d45317d424b5.htm
uspto-maintain,2026,U.S. Patent and Trademark Office,Maintain your patent,Government guidance,"Chapter 11: maintenance windows grace periods and lapse",https://www.uspto.gov/patents/maintain
ftc-warranty-guide,2015,Federal Trade Commission,Businessperson's Guide to Federal Warranty Law,Government business guidance,"Chapter 12: warranties as finite contractual promises distinct from useful life",https://www.ftc.gov/business-guidance/resources/businesspersons-guide-federal-warranty-law
epa-npdes,2026,U.S. Environmental Protection Agency,NPDES Permit Basics,Government regulatory guidance,"Chapters 13 and 15: five-year permit ceilings renewal and administrative continuance",https://www.epa.gov/npdes/npdes-permit-basics
nrc-license-renewal,2026,U.S. Nuclear Regulatory Commission,Reactor License Renewal Overview,Government regulatory guidance,"Chapter 13: forty-year initial licenses and renewal architecture",https://www.nrc.gov/reactors/operating/licensing/renewal/overview
aws-temp-creds,2026,Amazon Web Services,Temporary security credentials in IAM,First-party technical documentation,"Chapter 14: temporary credentials that cease to be accepted after expiration",https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_temp.html
icann-errp,2024,ICANN,Expired Registration Recovery Policy,Internet governance policy,"Chapters 15 16 and 19: notices redemption grace and renewal design",https://www.icann.org/en/contracted-parties/consensus-policies/expired-registration-recovery-policy/expired-registration-recovery-policy-21-02-2024-en
osha-presence-sensing,2026,Occupational Safety and Health Administration,Machine Guarding eTool - Presence-Sensing Devices,Government safety guidance,"Chapter 21: fail-safe control logic and operator-presence concepts as background for dead-man-switch design",https://www.osha.gov/etools/machine-guarding/presses/safety-devices/presence-sensing
