id,year,author_or_institution,title,source_type,book_use,url
S01,1997,Yannis Bakos,Reducing Buyer Search Costs: Implications for Electronic Marketplaces,academic paper,Ch 1-3; Ch 6; Ch 9; Ch 23 search costs and electronic intermediaries; Notes: Foundational model of how electronic marketplaces reduce buyer search costs; does not imply complete price convergence.,https://pubsonline.informs.org/doi/10.1287/mnsc.43.12.1676
S02,2000,Erik Brynjolfsson and Michael D. Smith,Frictionless Commerce? A Comparison of Internet and Conventional Retailers,academic paper,Ch 2; Ch 6; Ch 23 historical counterexample to frictionless-market claims; Notes: Finds lower online friction alongside meaningful price dispersion and persistent brand/trust effects in the studied markets.,https://pubsonline.informs.org/doi/10.1287/mnsc.46.4.563.12061
S03,2025,OpenAI,Buy it in ChatGPT: Instant Checkout and the Agentic Commerce Protocol,primary product documentation,"Ch 1; Ch 4-5; Ch 7; Ch 14-15 live agentic checkout infrastructure; Notes: Establishes a real 2025 agentic-commerce deployment; vendor source, so adoption and welfare claims require independent evidence.",https://openai.com/index/buy-it-in-chatgpt/
S04,2025,Stripe,Introducing our agentic commerce solutions,primary product documentation,Ch 1; Ch 4-5; Ch 12; Ch 15 ACP payments and merchant control; Notes: Describes Stripe's work with OpenAI on ACP and the trust/permission assumptions changed by agentic checkout.,https://stripe.com/blog/introducing-our-agentic-commerce-solutions
S05,2026,Google Developers Blog,Under the Hood: Universal Commerce Protocol (UCP),primary protocol documentation,"Ch 5; Ch 14-15; Ch 18; Ch 23 interoperability and machine-readable commerce; Notes: Describes UCP as an open-source commerce standard spanning consumer surfaces, businesses, payments, APIs, A2A and MCP.",https://developers.googleblog.com/under-the-hood-universal-commerce-protocol-ucp/
S06,2025,Google Cloud,Powering AI commerce with the new Agent Payments Protocol (AP2),primary protocol documentation,Ch 4; Ch 12; Ch 16; Ch 19; Ch 23 delegated authority and payment mandates; Notes: Useful for verifiable intent and payment-agnostic agent authorization; protocol evolution should be refreshed in later editions.,https://cloud.google.com/blog/products/ai-machine-learning/announcing-agents-to-payments-ap2-protocol
S07,2026,Shopify,The agentic commerce platform: Shopify connects any merchant to every AI conversation,primary product documentation,"Ch 5; Ch 14-15; Ch 18 merchant catalogs and agentic channels; Notes: Describes UCP, Agentic Storefronts and opening Shopify Catalog to non-Shopify brands; commercial claims should be treated as vendor evidence.",https://www.shopify.com/news/ai-commerce-at-scale
S08,2026,Shopify,"Selling everything, everywhere, all at once: Spring '26 Edition",primary product documentation,Ch 5; Ch 15; Ch 18 structured product data and catalog distribution; Notes: Reports merchant-facing Catalog/UCP capabilities and a vendor-reported conversion advantage for structured catalog data.,https://www.shopify.com/news/spring-26-edition-merchant
S09,2025,Shopify,Introducing Shopify Agentic Storefronts,primary product documentation,Ch 5; Ch 7; Ch 14-15 in-conversation shopping surfaces; Notes: Supports the claim that merchant discovery and checkout are moving into AI conversations.,https://www.shopify.com/news/winter-26-edition-agentic-storefronts
S10,2025,Amazon,Buy for Me button on Amazon Shopping app,primary product documentation,Ch 1; Ch 5; Ch 14 agentic purchasing across merchant boundaries; Notes: Beta deployment in which Amazon's app can complete purchases on participating external brand sites; do not generalize beta usage to mass adoption.,https://www.aboutamazon.com/news/retail/amazon-shopping-app-buy-for-me-brands
