source_id,chapter,accessed_date,publication_date,author_or_institution,title,source_type,claim_or_use,url,notes
gd-001,"1;10;11;12;16;17;18",2026-09-18,2025-01-28,"Jan Kulveit; Raymond Douglas; Nora Ammann; Deger Turan; David Krueger; David Duvenaud","Gradual Disempowerment: Systemic Existential Risks from Incremental AI Development",Academic preprint,"Canonical full version of gradual-disempowerment argument; economy, culture, states, mutual reinforcement, incremental replacement",https://arxiv.org/abs/2501.16946,"Primary source for concept. Do not present phrase/framework as Sven Hardy Benson's invention."
gd-002,"1;10;11;12;16;17;18",2026-09-18,2025-07-01,"Jan Kulveit; Raymond Douglas; Nora Ammann; Deger Turan; David Krueger; David Duvenaud","Position: Humanity Faces Existential Risk from Gradual Disempowerment",ICML/PMLR position paper,"Peer-reviewed conference position version and concise statement of systemic-risk thesis",https://proceedings.mlr.press/v267/kulveit25a.html,"PMLR volume 267, ICML 2025."
gd-003,"1;14;15",2026-09-18,2026-09-17,"Bentham's Bulldog; John Halstead","A Critique of Gradual Disempowerment",Critical essay,"Strong competing account: competent intent-aligned delegation can expand rather than reduce principal power; challenges novelty and clarity of canonical argument",https://benthams.substack.com/p/a-critique-of-gradual-disempowerment,"Treat as serious critique, not resolved fact."
gd-004,"1;12;14;15",2026-09-18,2026-09-17,"Max Harms","A Defense of Gradual Disempowerment",Critical response,"Defense emphasizing competitive pressure and effective irreversibility of delegation",https://www.alignmentforum.org/posts/jXBmrEQj7zKGgiaYh/a-defense-of-gradual-disempowerment,"Attributed response to September 2026 critique."
gd-005,"1;7;16",2026-09-18,2026-01-28,Anthropic,"Disempowerment patterns in real-world AI usage",Company research report,"Large-scale analysis of 1.5 million Claude.ai conversations; operationalizes belief, value, and action disempowerment; severe patterns reported as rare",https://www.anthropic.com/research/disempowerment-patterns,"Company-authored study of its own product; useful empirical anchor, not evidence of systemic civilizational disempowerment."
gd-006,"2;3",2026-09-18,2024-04-24,"Suresh Naidu; Arindrajit Dube","Monopsony Power in Labor Markets",NBER research review,"Evidence and framework for employer wage-setting power, worker outside options, search frictions, concentration and job differentiation",https://www.nber.org/reporter/2024number1/monopsony-power-labor-markets,"Use to ground dependency power; review article summarizes broader literature."
gd-007,3,2026-09-18,2025-02-04,"Erik Brynjolfsson; Danielle Li; Lindsey R. Raymond","Generative AI at Work",Peer-reviewed academic article,"Study of 5,172 customer-support agents; AI assistance increased issues resolved per hour about 15% on average with larger gains for less experienced workers",https://academic.oup.com/qje/article/140/2/889/7990658,"Productivity evidence does not directly establish long-run employment or bargaining effects."
gd-008,3,2026-09-18,2024-02-01,David Autor,"Applying AI to Rebuild Middle Class Jobs",NBER working paper,"Counterargument: AI can extend expert decision capability to more workers and create human complementarities",https://www.nber.org/papers/w32140,"Normative possibility, not forecast."
gd-009,3,2026-09-18,2026-02-01,"Daron Acemoglu; David Autor; Simon Johnson","Building Pro-Worker Artificial Intelligence",NBER working paper,"Distinguishes labor-augmenting, capital-augmenting, automating, expertise-leveling and new-task-creating technologies",https://www.nber.org/papers/w34854,"Use as counterweight to one-directional automation thesis."
gd-010,3,2026-09-18,2025-02-01,"Menaka Hampole; Dimitris Papanikolaou; Lawrence D. W. Schmidt; Bryan Seegmiller","Artificial Intelligence and the Labor Market",NBER working paper,"Task-level AI exposure associated with reduced labor demand while overall employment effects at adopting firms remained modest due to productivity-driven demand",https://www.nber.org/papers/w33509,"Revised September 2025; do not present as final causal settlement of AI labor effects."
gd-011,3,2026-09-18,2024-05-01,"Daron Acemoglu; Simon Johnson","Learning from Ricardo and Thompson: Machinery and Labor in the Early Industrial Revolution, and in the Age of AI",NBER working paper,"Historical and conceptual counterexample to automatic productivity-to-wage link; attention to autonomy and bargaining",https://www.nber.org/papers/w32416,"Use historical analogy carefully; modern AI context differs."
