id,year,author_or_institution,title,source_type,book_use,url
ch01-001,1779,Naval History and Heritage Command,John Paul Jones DANFS narrative including Bonhomme Richard and Serapis,Federal naval history,Chapter 1; accessed 2026-09-07. French East Indiaman Duc de Duras renamed Bonhomme Richard; 23 September 1779 fight with Serapis; ship sank after victory. Caution on exact wording of Jones reply.,https://www.history.navy.mil/content/history/nhhc/research/histories/ship-histories/danfs/j/john-paul-jones.html
ch01-002,n.d.,U.S. Department of State Office of the Historian,French Alliance French Assistance and European Diplomacy during the American Revolution 1778–1782,Federal historical synthesis,Chapter 1; accessed 2026-09-07. French alliance context for Jones squadron and coalition dependence.,https://history.state.gov/milestones/1776-1783/french-alliance
ch02-001,n.d.,National Archives,Researching the American Revolution,Archival guide,Chapter 2; accessed 2026-09-07. Institutional entry to early-republic commercial and diplomatic records framing Empress of China era.,https://www.archives.gov/research/american-revolution
ch02-002,n.d.,Library of Congress,Thomas Jefferson Papers — China trade and early commerce context,Primary-source collection,Chapter 2; accessed 2026-09-07. Founding-era papers for commercial independence and overseas trade.,https://www.loc.gov/collections/thomas-jefferson-papers/
ch03-001,n.d.,Naval History and Heritage Command,USS Constitution,Federal naval history,Chapter 3; accessed 2026-09-07. Naval Act frigates; Constitution launched 1797; permanent federal naval capacity.,https://www.history.navy.mil/browse-by-topic/ships/uss-constitution.html
ch03-002,1790,Alexander Hamilton / Founders Online,Report on Funds for the Payment of the Interest on the States Debts,Primary source,Chapter 3; accessed 2026-09-07. Federal fiscal capacity connected to customs/commerce that navies protect.,https://founders.archives.gov/documents/Hamilton/01-06-02-0179-0001
ch04-001,n.d.,Naval History and Heritage Command,Chesapeake–Leopard Affair,Federal naval history,Chapter 4; accessed 2026-09-07. 22 June 1807 attack; casualties; impressment and readiness.,https://www.history.navy.mil/research/library/online-reading-room/title-list-alphabetically/c/chesapeake-leopard-affair.html
ch04-002,n.d.,U.S. Department of State Office of the Historian,Embargo of 1807,Federal historical synthesis,Chapter 4; accessed 2026-09-07. Economic coercion after Chesapeake; domestic costs of embargo.,https://history.state.gov/milestones/1801-1829/embargo
ch05-001,n.d.,Smithsonian National Museum of American History,America on the Move,Museum historical synthesis,Chapter 5; accessed 2026-09-07. Transport technology transitions including steam navigation context for Savannah.,https://americanhistory.si.edu/collections/object-groups/america-on-the-move
ch05-002,n.d.,Library of Congress,Transportation and Technology collections overview,Collection guide,Chapter 5; accessed 2026-09-07. Early American steam and canal/rail transport materials.,https://www.loc.gov/collections/?q=steam+navigation
ch06-001,n.d.,Naval History and Heritage Command,Dictionary of American Naval Fighting Ships (DANFS),Federal naval history reference,Chapter 6; accessed 2026-09-07. Vincennes and early Pacific cruising entries.,https://www.history.navy.mil/research/histories/ship-histories/danfs.html
ch06-002,n.d.,U.S. Department of State Office of the Historian,Monroe Doctrine 1823,Federal historical synthesis,Chapter 6; accessed 2026-09-07. Western Hemisphere doctrine amid limited independent naval capacity.,https://history.state.gov/milestones/1801-1829/monroe
ch07-001,n.d.,National Archives,Teaching with Documents: The Amistad Case,Primary document / archival interpretation,Chapter 7; accessed 2026-09-07. Supreme Court liberation; illegal slave trade facts; limits regarding American slavery.,https://www.archives.gov/education/lessons/amistad
ch07-002,1841,Library of Congress,United States Reports — United States v. The Amistad,Primary judicial report,Chapter 7; accessed 2026-09-07. Story opinion pathway and factual framing of kidnapping.,https://www.loc.gov/item/usrep040518/
ch08-001,n.d.,National Park Service,Gold Rush — Golden Gate NRA history,Federal historical synthesis,Chapter 8; accessed 2026-09-07. Gold discovery; migration; port boom.,https://www.nps.gov/goga/learn/historyculture/gold-rush.htm
ch08-002,1848,Library of Congress,California as I Saw It: First-Person Narratives of California’s Early Years,Primary-source collection,Chapter 8; accessed 2026-09-07. Gold Rush arrival narratives including maritime routes.,https://www.loc.gov/collections/california-first-person-narratives/
