id,chapters,type,source,url,use,caveat
S001,"1",official-history,"U.S. Department of State, Office of the Historian, France country guide",https://history.state.gov/countries/france,"French recognition on February 6, 1778; Gérard credentials and diplomatic relations on August 6, 1778","Institutional summary; pair with treaty and congressional records for publication"
S002,"1",official-history,"U.S. Department of State, Office of the Historian, Model Treaty and 1778 alliance background",https://history.state.gov/milestones/1776-1783/model-treaty,"Terms and strategic context of the Franco-American alliance","Retired Milestones essay; use as guide to primary records"
S003,"2",primary-archive,"Founders Online, Report on Navigation of the Mississippi River, February 25, 1786",https://founders.archives.gov/documents/Jay/01-04-02-0138,"Jay-Gardoqui negotiation and Mississippi navigation conflict","American documentary perspective; add Spanish archival scholarship"
S004,"2",primary-archive,"Founders Online, James Monroe to James Madison, May 31, 1786",https://founders.archives.gov/documents/Madison/01-09-02-0014,"Sectional opposition to Jay's proposed Mississippi compromise","Monroe was an interested partisan; do not treat his suspicions as neutral fact"
S005,"3",official-history,"U.S. Department of State, Office of the Historian, Citizen Genêt Affair",https://history.state.gov/milestones/1784-1800/citizen-genet,"Genêt mission, privateering, conflict with Washington administration","Retired Milestones synthesis; verify precise legal claims against primary records"
S006,"3",primary-law,"George Washington, Proclamation of Neutrality, April 22, 1793, Founders Online",https://founders.archives.gov/documents/Washington/05-12-02-0371,"Executive neutrality posture during Genêt crisis","Primary presidential statement; does not alone settle treaty-law interpretations"
S007,"4",institutional-history,"Monticello, Sidi Soliman Mellimelli",https://www.monticello.org/encyclopedia/tunisian-envoy,"Arrival, diplomatic dispute, Washington social reception, sunset Ramadan dinner","Monticello synthesis; wording describing cultural difference reflects source era and should not be repeated uncritically"
S008,"4",institutional-history,"White House Historical Association, Thomas Jefferson’s Ramadan Dinner",https://www.whitehousehistory.org/thomas-jeffersons-ramadan-dinner-white-house-culinary-diplomacy-in-action,"Dinner timing and diplomatic context","Modern interpretive framing; avoid retroactively calling the event a recurring presidential iftar tradition"
S009,"5",official-history,"U.S. Department of State, Office of the Historian, Acquisition of Florida: Adams-Onís Treaty",https://history.state.gov/milestones/1801-1829/florida,"Florida cession, western boundary, Texas recognition, Jackson pressure","Retired Milestones synthesis; treaty text controls legal details"
S010,"5",official-biography,"U.S. Department of State, Office of the Historian, John Quincy Adams",https://history.state.gov/departmenthistory/people/adams-john-quincy,"Adams's role in Florida and transcontinental boundary diplomacy","American official perspective; add Onís/Spanish scholarship"
S011,"6",library-guide,"Library of Congress, Lafayette in America: A Resource Guide",https://guides.loc.gov/layfayette-in-america,"1824–25 invitation, all twenty-four states, archival map and materials","Guide synthesizes collections; use linked primary material for quotation"
S012,"6",institutional-history,"Library of Congress, 200th Anniversary of Lafayette’s Address to Congress",https://blogs.loc.gov/law/2024/12/200th-anniversary-of-the-marquis-de-lafayettes-address-to-congress/,"Congressional invitation, tour scale, founding-generation encounters","Commemorative institutional essay; avoid using celebratory language as causal evidence"
S013,"7",primary-book,"Alexis de Tocqueville, Democracy in America, Project Gutenberg",https://www.gutenberg.org/ebooks/815,"Tocqueville's analysis of equality, association, majority power and democratic society","Translation/edition differences matter; publication edit should use a scholarly edition"
S014,"7",biographical-reference,"Library of America, Alexis de Tocqueville",https://www.loa.org/writers/104-alexis-de-tocqueville/,"Official French prison-study mission and nine-month American journey","Secondary biographical overview; pair with Tocqueville/Beaumont prison report"
S015,"8",official-history,"U.S. Department of State, Office of the Historian, Webster-Ashburton Treaty",https://history.state.gov/milestones/1830-1860/webster-treaty,"Ashburton special mission, Maine border, Caroline, Creole and slave-trade provisions","Retired Milestones synthesis; the counterfactual risk of war cannot be quantified"
S016,"8",primary-treaty,"Avalon Project, Webster-Ashburton Treaty, 1842",https://avalon.law.yale.edu/19th_century/br-1842.asp,"Treaty text and boundary/extradition provisions","Legal text does not by itself establish political consequence"
S017,"9",official-history,"U.S. Department of State, Office of the Historian, Hungary country guide",https://history.state.gov/countries/hungary,"Kossuth's U.S. transport, December 1851–July 1852 tour and lack of official support for Hungarian independence","High-level summary; add speeches and contemporary press for public politics"
S018,"9",primary-speech,"Lajos Kossuth, Selected Speeches in the United States, Internet Archive",https://archive.org/details/selectspeecheso00kossgoog,"Kossuth's own American case for Hungarian independence and nonintervention against intervention","Collection reflects the speaker's advocacy; context and textual edition should be checked"
S019,"10",official-history,"U.S. Department of State, Office of the Historian, Purchase of Alaska, 1867",https://history.state.gov/milestones/1866-1898/alaska-purchase,"Russian reasons to sell, $7.2 million price, Stoeckl and Seward negotiation, transfer","Retired Milestones synthesis; later resource value should not be projected backward"
S020,"10",primary-archive,"FRUS 1867, Seward to Clay with treaty of cession",https://history.state.gov/historicaldocuments/frus1867p1/d324,"Signed Alaska treaty and identification of Stoeckl as Russian plenipotentiary","U.S. diplomatic record; add Russian records for seller perspective"
S021,"11",primary-archive,"Library of Congress, Alexander Graham Bell letter to his parents, June 27, 1876",https://www.loc.gov/item/magbell.00500228/,"Bell's Centennial demonstration and Pedro II among the audience","Primary Bell-family record; do not convert Pedro's reaction into causal credit for telephone adoption"
S022,"11",library-timeline,"Library of Congress, Alexander Graham Bell Family Papers timeline, 1870–1879",https://www.loc.gov/collections/alexander-graham-bell-papers/articles-and-essays/timeline/1870-to-1879/,"June 25, 1876 demonstration to Pedro II and William Thomson","Collection timeline; supplement with Brazilian records of Pedro's tour"
S023,"12",primary-archive,"FRUS 1883, Foote to Frelinghuysen, July 13, 1883",https://history.state.gov/historicaldocuments/frus1883/d112,"Decision to send Korean special mission and identification of Min Yong-ik and Hong Yeng-sik","American envoy perspective; requires Korean-language scholarship on Bobingsa motives"
S024,"12",primary-archive,"FRUS 1883, King of Chosŏn to President Arthur",https://history.state.gov/historicaldocuments/frus1883/d115,"Credentials and stated purpose of Min Yong-ik special mission","Formal royal letter; not a full account of factional politics or reform goals"
S025,"13",primary-archive,"FRUS 1896, Department of State arrangements for Li Hung Chang's visit",https://history.state.gov/historicaldocuments/frus1896/d67,"Official reception, Cleveland audience, special train and status as guest of the United States","U.S. protocol record; supplement with Chinese accounts of Li's itinerary and objections to exclusion"
S026,"13",primary-law,"National Archives, Chinese Exclusion Act",https://www.archives.gov/milestone-documents/chinese-exclusion-act,"Federal exclusion regime forming the domestic contrast to Li's elite reception","1882 act was amended and extended; chapter must distinguish stages of exclusion law"
S027,"14",primary-archive,"FRUS 1902, Jackson to Hay on Prince Henry's return",https://history.state.gov/historicaldocuments/frus1902/d393,"German assessment of visit as goodwill/public-diplomacy success without definite political result","Diplomatic self-assessment; does not measure American public attitude independently"
