source_id,chapter,accessed_date,publication_date,author_or_institution,title,source_type,claim_or_use,url,notes
ch01-001,1,2026-09-06,1776-07-04,Library of Congress / Second Continental Congress,Dunlap Broadside [Declaration of Independence],Primary-source collection,"First printed Declaration; Dunlap printing chronology; dispatch of copies on July 5",https://www.loc.gov/item/2021667578/,"LOC record notes printing on the night of July 4 and dispatch to assemblies, committees, and Continental commanders."
ch01-002,1,2026-09-06,2026-07-13,Library of Congress,Declaration of Independence: Primary Documents in American History,Archival research guide,"Printing, circulation, related manuscript and printed versions",https://guides.loc.gov/declaration-of-independence,"Use for document trail; manuscript should avoid inferring circulation scale not supported by sources."
ch02-001,2,2026-09-06,,Bureau of Land Management,Cadastral Survey,Government program history,"Origin of federal cadastral survey in Land Ordinance of 1785; administrative purpose of boundary definition",https://www.blm.gov/programs/lands-and-realty/cadastral-survey,"First-party overview of the continuing federal survey function."
ch02-002,2,2026-09-06,,National Archives,The Homestead Act of 1862,Government educational history,"Background on Land Ordinance of 1785: six-mile townships, 36 sections, 640-acre sections, revenue rationale",https://www.archives.gov/education/lessons/homestead-act,"Later page used for its summary of the 1785 survey system, not as evidence about Homestead-era outcomes."
ch03-001,3,2026-09-06,,National Museum of American History,Reproduction of Eli Whitney's Cotton Gin Model,Museum object history,"Whitney's 1794 patent; brushes and teeth; pirating; connection between cotton expansion and slave labor",https://americanhistory.si.edu/collections/object/nmah_625483,"Institutional synthesis; expand with quantitative economic-history scholarship before publication."
ch03-002,3,2026-09-06,,Library of Congress,Pre-Civil War African-American Slavery,Primary-source teaching synthesis,"Cotton-gin adoption as one factor in reinvigorated slave-based cotton production; labor system context",https://www.loc.gov/classroom-materials/united-states-history-primary-source-timeline/national-expansion-and-reform-1815-1880/pre-civil-war-african-american-slavery/,"Use with caution: causal claims should be tested against modern scholarship on cotton, land, demand, finance, and slavery."
ch04-001,4,2026-09-06,,National Park Service,Steamboats: Transportation During the Cherokee Removal 1837-1839,Government historical synthesis,"Robert Fulton's commercially successful 1807 North River steamboat; later shallow-hull riverboat context",https://home.nps.gov/articles/000/steamboats-transportation-during-the-cherokee-removal-1837-1839.htm,"Also documents steamboats' role in forced Indigenous removal; not a celebratory transport source."
ch04-002,4,2026-09-06,,National Park Service,Missouri Virtual Ranger: Steamboat Activity,Government historical synthesis,"1807 Fulton chronology; shallow-hull development; boiler, fire, snag, and ice hazards",https://www.nps.gov/articles/000/missouri-national-recreational-river-virtual-ranger-online-activities.htm,"Useful for hazard context; publication is educational rather than academic scholarship."
ch05-001,5,2026-09-06,,Erie Canalway National Heritage Corridor,Fast Facts,National Heritage Corridor,"Construction 1817; opening 1825; 363 miles; 83 locks; dimensions, travel time, and cost",https://eriecanalway.org/learn/history-culture/fast-facts,"Use precise figures with the corridor's definitions and original-canal scope."
ch05-002,5,2026-09-06,,Erie Canalway National Heritage Corridor,Historical Timeline,National Heritage Corridor,"1817-1825 construction; connection between Hudson River and Great Lakes; canal dimensions",https://eriecanalway.org/learn/history-culture/timeline,"Institutional chronology."
ch06-001,6,2026-09-06,2019-09-23,National Park Service,John H Hall,Government historical synthesis,"Hall's 1819 contract, interchangeable-parts goal, precision machinery, milling-machine antecedent, 1820s-1830s armory practice",https://www.nps.gov/hafe/learn/historyculture/john-h-hall.htm,"Includes contemporary statements from Hall and Ordnance officials; follow citations to Merritt Roe Smith and David Hounshell for publication edit."
ch07-001,7,2026-09-06,1844-05-24,Library of Congress,First telegraph message,Primary-source collection,"Morse's May 24, 1844 Washington-to-Baltimore practical demonstration and Alfred Vail's receiving role",https://www.loc.gov/item/mcc00054/,"Primary artifact and institutional description."
ch07-002,7,2026-09-06,,Library of Congress,Samuel F. B. Morse Papers / telegraph collections,Archival collection,"Morse telegraph development, correspondence, public demonstration context",https://www.loc.gov/collections/samuel-morse-papers-at-the-library-of-congress/,"Collection anchor; use item-level sources for quotations or disputed priority."
ch08-001,8,2026-09-06,,National Museum of American History,McCormick Reaper Model,Museum object history,"Jo Anderson's contribution; McCormick's Chicago factory in 1847; standardized-parts and manufacturing context",https://americanhistory.si.edu/collections/object/nmah_861230,"Museum wording on technical performance should be checked against agricultural-economic scholarship before using quantitative claims."
