id,year,author_or_institution,title,source_type,book_use,url
nei-001,2022,Amazon Web Services,REL05-BP06 Make services stateless where possible,developer architecture guidance,Technical precedent for externalizing state so replaceable compute resources can service requests and individual-node failure is easier to tolerate.; Chapters: 2;3;5;23; Caveat: Cloud application guidance rather than agent research; used as an architectural analogy.,https://docs.aws.amazon.com/wellarchitected/2022-03-31/framework/rel_mitigate_interaction_failure_stateless.html
nei-002,2005,Martin Fowler,Event Sourcing,software architecture essay,Defines event sourcing as capturing state changes as a sequence of events and discusses reconstruction temporal queries replay and parallel timelines.; Chapters: 3;7;11;13;14; Caveat: Influential practitioner writing from 2005; event sourcing has real complexity and is not prescribed for every agent.,https://www.martinfowler.com/eaaDev/EventSourcing.html
nei-003,2017,Martin Fowler,What do you mean by Event-Driven?,software architecture essay,Distinguishes event notification event-carried state transfer event sourcing and CQRS; supports precision about event-driven agent architecture.; Chapters: 3;5;7;15; Caveat: Conceptual taxonomy rather than empirical evaluation.,https://martinfowler.com/articles/201701-event-driven.html
nei-004,2026,Temporal,Temporal Platform Documentation,developer documentation,Contemporary example of durable execution where workflow state survives crashes outages timers and worker replacement through persisted history and replay.; Chapters: 5;7;12;23;24; Caveat: Vendor documentation; demonstrates an available architecture but not independent evidence of agent correctness.,https://docs.temporal.io/
nei-005,2026,Temporal,Durable Execution Solutions,developer product documentation,States that workflow state can be recovered replayed or paused across failures and provides task queues timers retries and persisted application state.; Chapters: 5;12;18;23;24; Caveat: Vendor marketing language; use for architectural existence rather than performance claims.,https://temporal.io/
nei-006,2026,Amazon Web Services,Making retries safe with idempotent APIs,developer reliability guidance,Explains why retryable distributed operations need idempotent contracts to avoid repeated side effects after ambiguous failure.; Chapters: 5;20;23; Caveat: General distributed-systems guidance rather than AI-specific evidence.,https://aws.amazon.com/builders-library/making-retries-safe-with-idempotent-APIs/
nei-007,2026,Amazon Web Services,REL04-BP04 Make mutating operations idempotent,developer reliability guidance,Provides reliability guidance for repeated mutating requests and idempotency tokens in distributed systems.; Chapters: 5;20;23; Caveat: General cloud architecture guidance; exact semantics vary by system.,https://docs.aws.amazon.com/wellarchitected/latest/framework/rel_prevent_interaction_failure_idempotent.html
nei-008,2026,Anthropic,Anthropic Economic Index report: Cadences,developer economic research,Product telemetry and surveys showing Anthropic usage shifting from conversation toward longer-running agentic tasks and more automated work sessions.; Chapters: 1;5;9;12;18;24; Caveat: Vendor/product-specific evidence and self-report; not representative of all workers or agent systems.,https://www.anthropic.com/research/economic-index-june-2026-report
nei-009,2026,Microsoft,2026 Work Trend Index: Agents human agency and opportunity,company survey and telemetry,"Reports agent-intensity measures tool use orchestration depth and organizational practices around delegation and human supervision.; Chapters: 1;5;12;16;18;24; Caveat: Company-sponsored survey of 20,000 AI-using knowledge workers in ten markets; selected population and self-report matter.",https://www.microsoft.com/en-us/worklab/work-trend-index/agents-human-agency-and-the-opportunity-for-every-organization
nei-010,2026,METR,Task-Completion Time Horizons of Frontier AI Models,independent evaluation,Measures the human-expert task duration at which frontier agents reach specified success probabilities on a software task suite.; Chapters: 1;5;13;24; Caveat: Task difficulty measure not literal autonomous run time; METR warns measurements above 16 hours are unreliable with its current suite.,https://metr.org/time-horizons/
nei-011,2024,National Institute of Standards and Technology,Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile,government technical guidance,Cross-sector lifecycle risk-management guidance used for governance evaluation verification documentation and risk framing of persistent agents.; Chapters: 6;8;13;16;19;20;21;22;24; Caveat: Voluntary U.S. guidance; not specific to durable agents and does not itself ensure safety.,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence
nei-012,2026,National Institute of Standards and Technology,AI Risk Management Framework program,government program page,Shows continuing work on AI risk management and 2026 critical-infrastructure profile development.; Chapters: 6;8;13;16;19;20;21;24; Caveat: Framework revision is ongoing; use broad lifecycle concepts rather than implying settled agent-specific regulation.,https://www.nist.gov/itl/ai-risk-management-framework
nei-013,2011,Martin Fowler,The LMAX Architecture,software architecture case study,Uses event sourcing and durable input history to rebuild in-memory application state after crashes; useful concrete precedent for replaceable computation plus replayable state.; Chapters: 7;11;13;23; Caveat: Specialized architecture and historical case; should not be generalized into a universal agent design.,https://www.martinfowler.com/articles/lmax.html
nei-014,2026,Temporal,Building Durable Production-Ready Agents with the OpenAI Agents SDK and Temporal,developer webinar page,Current developer evidence that production agent builders are explicitly confronting hours-days-weeks-months execution and distributed-system failure modes.; Chapters: 1;5;12;18;24; Caveat: Joint vendor framing; evidence of engineering direction rather than neutral adoption measurement.,https://pages.temporal.io/building-durable-production-ready-agents.html
