id,year,author_or_institution,title,source_type,book_use,url
alliance-001,2026,NATO,Alliance Digital Strategy,Official strategy,Digital interoperability data AI cloud and human-machine collaboration,https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2026/01/13/alliance-digital-strategy
alliance-002,2026,NATO,NATO’s Digital Transformation Implementation Strategy 2.0,Official strategy,Digital backbone data sharing ecosystem and interoperability deliverables,https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2026/05/26/natos-digital-transformation-implementation-strategy
alliance-003,2026,NATO,Strategy for Industry-NATO Cooperation,Official strategy,Innovation interoperability and defense production,https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2026/07/08/strategy-for-industry-nato-cooperation
alliance-004,2024,NATO,NATO releases revised AI strategy,Official release,AI interoperability responsible use and adversarial risks,https://www.nato.int/en/news-and-events/articles/news/2024/07/10/nato-releases-revised-ai-strategy
alliance-005,2026,U.S. Department of Defense,AUKUS Pillar II Signature Project,Official fact sheet,Shared standards common control systems and uncrewed undersea interoperability,https://media.defense.gov/2026/May/30/2003941945/-1/-1/1/FACT-SHEET-AUKUS-PILLAR-II-SIGNATURE-PROJECT.PDF
alliance-006,2023,U.S. Department of Defense,AUKUS Defense Ministers Meeting Joint Statement,Official statement,Maritime autonomy shared data AI algorithms and experimentation,https://www.defense.gov/News/Releases/Article/3604511/aukus-defense-ministers-meeting-joint-statement/
alliance-007,2024,NATO,NATO Digital Backbone,Official text,Federated CIS cloud edge and cross-domain connectivity concept,https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2024/12/13/nato-digital-backbone
alliance-008,2025,NATO,Data Strategy for the Alliance,Official strategy,Data-centric governance and federated data spaces,https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2025/05/05/data-strategy-for-the-alliance
alliance-009,2026,UK Government,AUKUS Pillar II fact sheet: UUVs payloads and enabling systems,Official fact sheet,Interchangeable payloads shared standards trilateral concepts delivery from 2027,https://www.gov.uk/government/publications/aukus-defence-ministerial-joint-statement-30-may-2026/aukus-pillar-ii-fact-sheet-uncrewed-undersea-vehicles-payloads-and-enabling-systems
alliance-010,2026,U.S. Indo-Pacific Command,Philippines US conclude Balikatan 2026,Official news,Multinational expansion Australia Japan Canada France New Zealand interoperability,https://www.pacom.mil/Media/News/News-Articles/Article/4483964/philippines-us-conclude-balikatan-2026/
alliance-011,2026,U.S. Indo-Pacific Command,Maritime Key Terrain Security Operations training Balikatan 2026,Official news,Archipelagic combined operations Australia Japan Philippines US,https://www.pacom.mil/Media/News/News-Articles/Article/4478537/multinational-forces-conduct-maritime-key-terrain-security-operations-training/
alliance-012,2026,Department of Defense OIG,Evaluation of capability to produce 155-mm artillery ammunition,Inspector general report,US production shortfalls metal-parts bottleneck March 2026 rates,https://www.oversight.gov/sites/default/files/documents/reports/2026-07/DOWIG-2026-095%20155-mm_Redacted_Secure.pdf
alliance-013,2026,Breaking Defense,Army well short of 155mm ammo production goal,News analysis,Mesquite Texas facility and Scranton Wilkes-Barre Ingersoll rates,https://breakingdefense.com/2026/07/army-well-short-of-155mm-ammo-production-goal-texas-facility-in-the-spotlight/
alliance-014,2026,AFCEA SIGNAL,NATO and EDA Eye 2030 Deadline for Cloud AI and Emerging Technology,Interview reporting,Federated cloud among 32 allies plus NATO enterprise sovereignty balance,https://www.afcea.org/signal-media/emerging-edge/nato-and-eda-eye-2030-deadline-cloud-ai-and-emerging-technology
alliance-015,2026,UK Government,Cutting-edge underwater tech for AUKUS forces landmark partnership,Official news,Pillar II acceleration Hybrid Navy payloads and innovation challenge,https://www.gov.uk/government/news/cutting-edge-underwater-tech-for-aukus-forces-to-be-developed-through-landmark-partnership
alliance-016,2024,ABC News,AUKUS partners considering Japan on Pillar II projects,News report,Partner engagement principles without full membership expansion,https://www.abc.net.au/news/2024-04-09/australia-us-uk-confirm-japan-considered-aukus-pillar-ii/103683934
alliance-017,2026,Philippine Information Agency,SALAKNIB 2026 with Japan and Australia,Official news,Mission command interoperability and buildup to Balikatan,https://pia.gov.ph/news/ph-us-join-forces-with-japan-australia-in-salaknib-2026/
alliance-018,2025,European Commission,Act in Support of Ammunition Production ASAP outcomes,Policy reporting,European ammunition capacity expansion context for industrial alliance,https://defence-industry-space.ec.europa.eu/eu-defence-industry/asap-boosting-defence-production_en
