id,type,source,claim,status,notes
Q23-01,primary-web,https://quantiacs.com/?threadid=797,"Q23 S&P500 winner history: trader_wesley; nydoctor; emaX.quant; Svyable; blue_warrior; Zorta98; kyoto.momo91 across the seven allocation slots",verified,"Use for final allocation order; Quantiacs-controlled page"
Q23-02,primary-web,https://quantiacs.com/leaderboard,"Q23 is S&P500 LONG SHORT; $2M allocated capital; four-month contest; start 2025-09-01; end 2026-01-01",verified,"Current global leaderboard page has displayed inconsistent strategy rows; use winner-history page for allocation order"
Q23-03,primary-web,https://quantiacs.com/contest,"Fourth allocation tier is $100,000; contest scoring is live Sharpe subject to rules",verified,"Current contest page is Q25 but prize ladder and general model are documented there"
Q23-04,primary-web,https://quantiacs.com/faq,"Top seven algorithms share $2M in allocations; fourth place gets $100k; quants receive 10% of profits under program terms",verified,"Important distinction: allocation is not guaranteed cash prize"
Q23-05,primary-web,https://quantiacs.com/community/topic/777/has-my-strategy-been-rejected-from-q23/2?lang=en-GB,"Public Q23 discussion documents rejection/disqualification issues involving manual asset selection/correlation and Quantiacs' full-SP500-universe interpretation",verified,"Describe neutrally; not evidence that Svyable itself was disqualified"
Q23-06,primary-web,https://quantiacs.com/community/topic/708/strategy-takes-a-long-time-to-get-verified,"Public Q23 discussion mentions Svyable having many displayed strategies; support explains up to 50 running submissions and 15 contest strategies",verified,"Useful for experimentation/submission ecology; don't infer exact number entered by Svyable"
Q23-07,primary-web,https://quantiacs.com/community/topic/535/q20-contest-results/15?lang=en-GB,"Quantiacs explains dynamic universe/liquidity handling and why hand-picked assets can create survivorship-bias/gaming concerns",verified,"Older contest, useful as platform philosophy"
Q24-01,primary-web,https://quantiacs.com/leaderboard/24,"Q24 Crypto Top-10 Long-Only submission deadline 2026-03-31 and live contest 2026-04-01 through 2026-07-31",verified,"Historical leaderboard page"
Q24-02,primary-web,https://quantiacs.com/leaderboard/24,"Svyable Q24_PARAOU_v3 rank 30; contest Sharpe 1.50; IS Sharpe 2.23; max drawdown -25.62%; average turnover 4.56%; no allocation",verified,"Best displayed public Svyable Q24 result in current historical leaderboard"
Q24-03,primary-web,https://quantiacs.com/leaderboard/24,"Multiple Svyable Q24 entries show IS Sharpe near/above 2 with much weaker or negative contest Sharpe: torchy_v22; JPv1; COMBO; HYBRIDVIPERv21; TORCHYv1; ICv69",verified,"Use as family-level evidence that IS performance did not transfer uniformly"
Q24-04,primary-web,https://quantiacs.com/documentation/en/examples/q24_crypto_guide.html,"Q24 eligible strategy is long-only and trades historical monthly Crypto Top-10 liquid assets by market capitalization; stablecoins excluded",verified,"Useful for universe mechanics"
