id,year,author_or_institution,title,source_type,book_use,url
S001,n.d.,U.S. Department of State,"Office of the Historian, France country guide",official-history,"French recognition on February 6, 1778; Gérard credentials and diplomatic relations on August 6, 1778; Chapters: 1; Caveat: Institutional summary; pair with treaty and congressional records for publication",https://history.state.gov/countries/france
S002,n.d.,U.S. Department of State,"Office of the Historian, Model Treaty and 1778 alliance background",official-history,Terms and strategic context of the Franco-American alliance; Chapters: 1; Caveat: Retired Milestones essay; use as guide to primary records,https://history.state.gov/milestones/1776-1783/model-treaty
S003,n.d.,Founders Online,"Report on Navigation of the Mississippi River, February 25, 1786",primary-archive,Jay-Gardoqui negotiation and Mississippi navigation conflict; Chapters: 2; Caveat: American documentary perspective; add Spanish archival scholarship,https://founders.archives.gov/documents/Jay/01-04-02-0138
S004,n.d.,Founders Online,"James Monroe to James Madison, May 31, 1786",primary-archive,Sectional opposition to Jay's proposed Mississippi compromise; Chapters: 2; Caveat: Monroe was an interested partisan; do not treat his suspicions as neutral fact,https://founders.archives.gov/documents/Madison/01-09-02-0014
S005,n.d.,U.S. Department of State,"Office of the Historian, Citizen Genêt Affair",official-history,"Genêt mission, privateering, conflict with Washington administration; Chapters: 3; Caveat: Retired Milestones synthesis; verify precise legal claims against primary records",https://history.state.gov/milestones/1784-1800/citizen-genet
S006,n.d.,George Washington,"Proclamation of Neutrality, April 22, 1793, Founders Online",primary-law,Executive neutrality posture during Genêt crisis; Chapters: 3; Caveat: Primary presidential statement; does not alone settle treaty-law interpretations,https://founders.archives.gov/documents/Washington/05-12-02-0371
S007,n.d.,Monticello,Sidi Soliman Mellimelli,institutional-history,"Arrival, diplomatic dispute, Washington social reception, sunset Ramadan dinner; Chapters: 4; Caveat: Monticello synthesis; wording describing cultural difference reflects source era and should not be repeated uncritically",https://www.monticello.org/encyclopedia/tunisian-envoy
S008,n.d.,White House Historical Association,Thomas Jefferson’s Ramadan Dinner,institutional-history,Dinner timing and diplomatic context; Chapters: 4; Caveat: Modern interpretive framing; avoid retroactively calling the event a recurring presidential iftar tradition,https://www.whitehousehistory.org/thomas-jeffersons-ramadan-dinner-white-house-culinary-diplomacy-in-action
S009,n.d.,U.S. Department of State,"Office of the Historian, Acquisition of Florida: Adams-Onís Treaty",official-history,"Florida cession, western boundary, Texas recognition, Jackson pressure; Chapters: 5; Caveat: Retired Milestones synthesis; treaty text controls legal details",https://history.state.gov/milestones/1801-1829/florida
S010,n.d.,U.S. Department of State,"Office of the Historian, John Quincy Adams",official-biography,Adams's role in Florida and transcontinental boundary diplomacy; Chapters: 5; Caveat: American official perspective; add Onís/Spanish scholarship,https://history.state.gov/departmenthistory/people/adams-john-quincy
S011,n.d.,Library of Congress,Lafayette in America: A Resource Guide,library-guide,"1824–25 invitation, all twenty-four states, archival map and materials; Chapters: 6; Caveat: Guide synthesizes collections; use linked primary material for quotation",https://guides.loc.gov/layfayette-in-america
S012,n.d.,Library of Congress,200th Anniversary of Lafayette’s Address to Congress,institutional-history,"Congressional invitation, tour scale, founding-generation encounters; Chapters: 6; Caveat: Commemorative institutional essay; avoid using celebratory language as causal evidence",https://blogs.loc.gov/law/2024/12/200th-anniversary-of-the-marquis-de-lafayettes-address-to-congress/
