id,year,author_or_institution,title,source_type,book_use,url
enough-ch01-001,2010,Daniel Kahneman and Angus Deaton,"High income improves evaluation of life but not emotional well-being",Original research,"Chapter 1: establishes distinction between life evaluation and emotional well-being and the influential approximately $75,000 plateau result in 2008–2009 U.S. data.",https://doi.org/10.1073/pnas.1011492107
enough-ch01-002,2021,Matthew A. Killingsworth,"Experienced well-being rises with income, even above $75,000 per year",Original research,"Chapter 1: experience-sampling result based on more than 1.7 million reports from 33,391 employed U.S. adults; no general plateau at the earlier threshold.",https://pmc.ncbi.nlm.nih.gov/articles/PMC7848527/
enough-ch01-003,2023,Matthew A. Killingsworth; Daniel Kahneman; Barbara Mellers,"Income and emotional well-being: A conflict resolved",Original research / adversarial collaboration,"Chapter 1: reconciles earlier findings; flattening among least-happy participants while well-being continues rising for happier groups. Preserve observational and measurement caveats.",https://pmc.ncbi.nlm.nih.gov/articles/PMC10013834/
enough-ch02-001,1978,Philip Brickman; Dan Coates; Ronnie Janoff-Bulman,"Lottery winners and accident victims: Is happiness relative?",Original research,"Chapter 2: canonical early adaptation study. Winners not significantly happier than controls and reported less pleasure from ordinary events; accident victims reported lower present happiness than controls, so adaptation is real but partial.",https://doi.org/10.1037/0022-3514.36.8.917
enough-ch02-002,2006,Ed Diener; Richard E. Lucas; Christine Napa Scollon,"Beyond the Hedonic Treadmill: Revising the Adaptation Theory of Well-Being",Peer-reviewed review,"Chapter 2: five revisions to set-point theory — non-neutral set points, individual differences, multiple components, changeable set points, and differential adaptation.",https://doi.org/10.1037/0003-066X.61.4.305
enough-ch02-003,2007,Richard E. Lucas,"Adaptation and the Set-Point Model of Subjective Well-Being: Does Happiness Change After Major Life Events?",Peer-reviewed article,"Chapter 2: panel-data evidence that divorce, widowhood, unemployment, and disability are associated with lasting changes in well-being; adaptation is not inevitable and varies by person.",https://doi.org/10.1111/j.1467-8721.2007.00479.x
enough-ch02-004,2012,Maike Luhmann; Wilhelm Hofmann; Michael Eid; Richard E. Lucas,"Subjective Well-Being and Adaptation to Life Events: A Meta-Analysis",Meta-analysis,"Chapter 2: integration of 188 publications on reaction and adaptation to family and work events; marriage adapted within about two years while negative events adapted more slowly and less completely, and cognitive well-being responded differently from affective well-being.",https://doi.org/10.1037/a0025948
enough-ch02-005,2010,Rafael Di Tella; John Haisken-De New; Robert MacCulloch,"Happiness Adaptation to Income and to Status in an Individual Panel",Original research,"Chapter 2: German Socio-Economic Panel, 1984–2000; most of income's effect on life satisfaction dissipated within about four years while status effects persisted — the income/status asymmetry.",https://doi.org/10.1016/j.jebo.2010.01.002
enough-ch02-006,2014,Andrew E. Clark; Conchita D'Ambrosio; Simone Ghislandi,"Adaptation to Poverty in Long-Run Panel Data",Original research,"Chapter 2: falling into poverty produced large and persistent declines in life satisfaction with little evidence of adaptation — used to keep the book from moralizing scarcity.",https://doi.org/10.1016/j.euroecorev.2018.07.001
enough-ch02-007,2012,Kennon M. Sheldon; Sonja Lyubomirsky,"The Challenge of Staying Happier: Testing the Hedonic Adaptation Prevention Model",Original research,"Chapter 2: hedonic adaptation prevention — variety and continued appreciation slow the decay of well-being gains from positive life changes.",https://doi.org/10.1177/0146167212436400
enough-ch05-001,2020,National Institute on Drug Abuse,"Drugs, Brains, and Behavior: The Science of Addiction",Government scientific review,"Chapter 5: reward circuitry, tolerance, compulsive drug use, and limits of treating ordinary preference as addiction by analogy.",https://nida.nih.gov/publications/drugs-brains-behavior-science-addiction
enough-ch08-001,2026,U.S. Bureau of Labor Statistics,"American Time Use Survey",Government survey,"Chapter 8: empirical baseline for paid work, sleep, leisure, caregiving, and other uses of finite daily time.",https://www.bls.gov/tus/
enough-ch09-001,2022,Federal Trade Commission,"Bringing Dark Patterns to Light",Government report,"Chapter 9 and platform-design material: documented interface practices that can steer or manipulate user behavior; use to distinguish deliberate design from vague claims about addictive technology.",https://www.ftc.gov/reports/bringing-dark-patterns-light
enough-ch11-001,1975,Charles Goodhart,"Problems of Monetary Management: The U.K. Experience",Original policy lecture,"Chapter 11: historical source behind Goodhart's law; verify exact language and separate original claim from later formulations about metrics becoming targets.",https://www.bankofengland.co.uk/-/media/boe/files/quarterly-bulletin/1975/problems-of-monetary-management-the-uk-experience.pdf
enough-ch13-001,2011,Gilles Duranton and Matthew A. Turner,"The Fundamental Law of Road Congestion: Evidence from US Cities",Original research,"Chapter 13: induced-demand evidence showing vehicle kilometers traveled increasing roughly proportionally with lane kilometers in U.S. interstate highways; examine limitations and policy context.",https://doi.org/10.1093/qje/qjr041
enough-ch14-001,2017,NIST,"Engineering Statistics Handbook",Government technical reference,"Chapter 14: reliability, optimization, process capability, and diminishing-return examples; use specific sections only after verifying the exact engineering claim.",https://www.itl.nist.gov/div898/handbook/
