id,year,author_or_institution,title,source_type,book_use,url
MTM001,2025,"Fortune (via Yahoo Finance syndication)","Jamie Dimon issues private credit warning: 'When you see one cockroach, there are probably more'","Business news report","Verbatim Dimon quotation and October 14 2025 JPMorgan Q3 earnings-call context; Chapters 1 12 20",https://finance.yahoo.com/news/jamie-dimon-issues-private-credit-111557227.html
MTM002,2025,"CEO Today Magazine","Jamie Dimon Warns of Hidden Risks After JPMorgan's $170M Loss - Private Credit 'Cockroach' Warning Shakes Wall Street","Business news report","JPMorgan's $170 million Tricolor-linked write-off disclosed alongside the cockroach remark; Chapters 1 11 12",https://www.ceotodaymagazine.com/2025/10/jamie-dimon-private-credit-warning-jpmorgan-170m-loss/
MTM003,2025,"Seeking Alpha","JPMorgan Chase & Co. (JPM) Q3 2025 Earnings Call Transcript","Earnings call transcript","Primary transcript source for the October 14 2025 earnings call; Chapters 1 11",https://seekingalpha.com/article/4829881-jpmorgan-chase-and-co-jpm-q3-2025-earnings-call-transcript
MTM004,2025,"Bloomberg News","First Brands' Fallout Exposes Risks of Lending Private Credit","Business news report","First Brands Group collapse and its effect on private credit confidence; Chapters 1 10 12",https://www.bloomberg.com/news/articles/2025-10-02/first-brands-fallout-exposes-risks-of-lending-private-credit
MTM005,2025,"CNBC","First Brands' implosion is ripping through private credit - and lenders are scrambling to contain the fallout","Business news report","Lender exposure figures including reported $1.75 billion single-firm exposure and 83% term-loan price decline; Chapters 10 12",https://www.cnbc.com/2025/10/10/first-brands-implosion-lenders-scramble-to-contain-the-fallout-.html
MTM006,2025,"T. Rowe Price OCredit","Looking under the hood: The First Brands bankruptcy","Asset manager research note","Practitioner account of First Brands' September 28 2025 Chapter 11 filing, alleged double-pledged receivables and off-balance-sheet financing; Chapters 10 12",https://www.troweprice.com/en/us/ocredit/insights/looking-under-the-hood-the-first-brands-bankruptcy
MTM007,2025,"Cambridge Associates","Do the Recent Bankruptcies of First Brands and Tricolor Suggest Trouble Ahead in Private Credit?","Institutional investment-consultant research note","Institutional-investor framing of both 2025 cases as a joint stress test for private credit; Chapters 10 11 12",https://www.cambridgeassociates.com/insight/do-the-recent-bankruptcies-of-first-brands-and-tricolor-suggest-trouble-ahead-in-private-credit/
MTM008,2025,"McKool Smith","First Brands Bankruptcy Underlines Scope of Private Credit Exposures","Law-firm client alert","Legal-practitioner summary of collateral and lender-priority issues in the First Brands filing; Chapter 10",https://www.mckoolsmith.com/assets/htmldocuments/2025%2010%2010%20First%20Brands%20Bankruptcy%20Underlines%20Scope%20of%20Private%20Credit%20Exposures.pdf
MTM009,2025,"Dealership Guy (Newsletter)","Tricolor: The messy collapse of a subprime auto lender explained","Trade-press explainer","Tricolor Holdings business model, September 2025 dealership shutdowns, and collapse timeline; Chapter 11",https://news.dealershipguy.com/p/tricolor-the-messy-collapse-of-a-subprime-auto-lender-explained-2025-09-16
MTM010,2025,"PYMNTS.com","Subprime Auto Lender Tricolor Files to Liquidate in Bankruptcy","Business news report","September 10 2025 Chapter 7 filing details and creditor count above 25,000; Chapter 11",https://www.pymnts.com/consumer-finance/2025/subprime-auto-lender-tricolor-files-to-liquidate-in-bankruptcy/
MTM011,2025,"Eleven (Financial news aggregator)","Tricolor Holdings Files Chapter 7 as Executives Charged with $800M Collateral Fraud","Business news report","Federal collateral-fraud charges against Tricolor executives and the roughly $800 million double-pledged collateral allegation; Chapters 11 12",https://elevenflo.com/blog/tricolor-holdings-bankruptcy
MTM012,2025,"Yahoo Finance (Reuters syndication)","JPMorgan's Dimon on Tricolor losses: 'It is not our finest moment'","Business news report","Dimon's own characterization of JPMorgan's underwriting failure in the Tricolor exposure; Chapter 11",https://finance.yahoo.com/news/jpmorgans-dimon-on-tricolor-losses-it-is-not-our-finest-moment-140128213.html
MTM013,2025,"Jefferies Financial Group Inc.","Form 8-K disclosure on Tricolor-related exposure","SEC filing (primary source)","Primary-source disclosure of Jefferies' financial exposure tied to Tricolor-linked financing; Chapter 11",https://www.sec.gov/Archives/edgar/data/96223/000114036125037595/ef20056799_ex99-1.htm
MTM014,2025,"Institute and Faculty of Actuaries (Blog)","Private credit: First Brands case study","Professional-association analysis","Actuarial/insurance-industry perspective on First Brands as a private credit case study; Chapters 10 13",https://blog.actuaries.org.uk/2026/7/private-credit-first-brands-case-study/
MTM015,2024,"International Monetary Fund","Fast-Growing $2 Trillion Private Credit Market Warrants Closer Watch","Multilateral institution blog/report","IMF's global private credit sizing (~$2 trillion) and early vulnerability framing; Chapters 6 12",https://www.imf.org/en/blogs/articles/2024/04/08/fast-growing-usd2-trillion-private-credit-market-warrants-closer-watch
MTM016,2025,"International Monetary Fund","Global Financial Stability Report, October 2025","Multilateral institution flagship report","Updated IMF analysis of private credit and nonbank financial institution vulnerabilities and interconnection; Chapters 6 12",https://www.imf.org/-/media/files/publications/gfsr/2025/october/english/text.pdf
MTM017,2025,"Board of Governors of the Federal Reserve System","Bank Lending to Private Credit: Size, Characteristics, and Financial Stability Implications","Central bank research note (FEDS Notes)","Federal Reserve estimate of roughly $300 billion in bank lending to private credit providers as of June 2025; Chapters 6 12 18",https://www.federalreserve.gov/econres/notes/feds-notes/bank-lending-to-private-credit-size-characteristics-and-financial-stability-implications-20250523.html
MTM018,2026,"Financial Stability Board","Report on Vulnerabilities in Private Credit","International standard-setting body report","FSB assessment of private credit interconnection, leverage, and valuation risk published May 2026; Chapters 12 18 20",https://www.fsb.org/uploads/P060526.pdf
MTM019,2025,"Federal Reserve Bank of Boston","Could the Growth of Private Credit Pose a Risk to Financial System Stability?","Regional Federal Reserve Bank research note","Regional Fed perspective on systemic-risk channels from private credit growth; Chapters 12 18",https://www.bostonfed.org/publications/current-policy-perspectives/2025/could-the-growth-of-private-credit-pose-a-risk-to-financial-system-stability.aspx
MTM020,2024,"Board of Governors of the Federal Reserve System","Private Credit Growth and Monetary Policy Transmission","Central bank research note (FEDS Notes)","Background on private credit's growth trajectory and its interaction with monetary policy; Chapters 2 6",https://www.federalreserve.gov/econres/notes/feds-notes/private-credit-growth-and-monetary-policy-transmission-20240802.html
MTM021,2025,"Mayer Brown","President Trump Signs Executive Order Seeking to Expand Availability of Alternative Assets in 401(k) Plans","Law-firm client alert","Summary of the August 7 2025 executive order's scope and directed agency actions; Chapter 15",https://www.mayerbrown.com/en/insights/publications/2025/08/president-trump-signs-executive-order-seeking-to-expand-availability-of-alternative-assets-in-401k-plans
MTM022,2025,"The White House","Democratizing Access to Alternative Assets for 401(k) Investors","Executive order (primary source)","Primary text and framing of the August 7 2025 executive order; Chapters 15 16 20",https://www.whitehouse.gov/presidential-actions/2025/08/democratizing-access-to-alternative-assets-for-401k-investors/
MTM023,2025,"CNN Business","Trump will sign an executive order that may make it easier for 401(k)s to offer private equity investments","Business news report","Contemporaneous news coverage of the August 2025 executive order and its immediate reception; Chapter 15",https://www.cnn.com/2025/08/07/business/private-equity-401k-trump-executive-order
MTM024,2025,"Ogletree Deakins","Executive Order Opens Door to Alternative Assets in 401(k)s: Key Considerations for Plan Fiduciaries","Law-firm client alert","Fiduciary-duty and plan-sponsor implications of the executive order; Chapters 15 16",https://ogletree.com/insights-resources/blog-posts/executive-order-opens-door-to-alternative-assets-in-401ks-key-considerations-for-plan-fiduciaries/
MTM025,2025,"Seyfarth Shaw LLP","Executive Order Opens the Door to Alternative Assets in 401(k) Plans","Law-firm client alert","Additional legal analysis of scope, including the December 2021 DOL guidance rescinded on August 12 2025; Chapter 15",https://www.seyfarth.com/news-insights/executive-order-opens-the-door-to-alternative-assets-in-401k-plans.html
MTM026,2025,"Torys LLP","President Trump's Executive Order on alternative assets for U.S. defined-contribution retirement plans - and what it means for the secondaries market","Law-firm client alert","Market-structure implications of extending alternative-asset access to defined-contribution plans; Chapter 15",https://www.torys.com/our-latest-thinking/torys-quarterly/q4-2025/executive-order-on-alternative-assets-for-us-defined-contribution-retirement-plans
MTM027,2025,"Freshfields Bruckhaus Deringer","Opening the 401(k) Gates: The Potential Promise and Perils of Alternative Investments in Retirement Plans","Law-firm client alert","Balanced promise-versus-peril framing used to structure Chapter 15's central tension; Chapters 15 19",https://www.freshfields.com/en/our-thinking/blogs/a-fresh-take/opening-the-401k-gates-the-potential-promise-and-perils-of-alternative-invest-102kzzw
MTM028,2026,"Kirkland & Ellis LLP","Proposed DOL Regulation Aims to Expand Access to Alternative Assets for 401(k) Plan Participants","Law-firm client alert","Status of Department of Labor rulemaking following the executive order into 2026; Chapters 15 20",https://www.kirkland.com/publications/kirkland-alert/2026/04/proposed-dol-regulation-aims-to-expand-access-to-alternative-assets-for-401k-plan-participants
MTM029,2024,"Dechert LLP","SEC's Private Fund Adviser Rule Vacated by the Fifth Circuit","Law-firm client alert","Legal analysis of the June 6 2024 Fifth Circuit decision vacating the SEC's 2023 Private Fund Adviser Rule; Chapters 14 17",https://www.dechert.com/knowledge/onpoint/2024/6/sec-s-private-fund-adviser-rule-vacated-by-fifth-circuit.html
MTM030,2024,"White & Case LLP","5th Circuit Strikes Down Private Fund Adviser Rules","Law-firm client alert","Additional legal summary of the vacated rule's original disclosure and secondary-transaction requirements; Chapter 17",https://www.whitecase.com/insight-alert/5th-circuit-strikes-down-private-fund-adviser-rules
MTM031,2024,"Debevoise & Plimpton LLP","Fifth Circuit Banishes SEC Private Fund Adviser Rules","Law-firm client alert","Analysis of the statutory-authority basis for the Fifth Circuit's ruling; Chapter 17",https://www.debevoise.com/insights/publications/2024/06/fifth-circuit-banishes-sec-private-fund-advisers
MTM032,2024,"Morgan Lewis","Fifth Circuit Vacates SEC Private Fund Adviser Rules","Law-firm client alert","Confirms rule adopted August 2023 and vacated in full June 2024; Chapter 17",https://www.morganlewis.com/pubs/2024/06/fifth-circuit-vacates-sec-private-fund-adviser-rules
MTM033,2024,"U.S. Securities and Exchange Commission","Announcement Regarding Private Fund Advisers Rules","Regulatory agency statement (primary source)","SEC's own post-vacatur statement on the status of the Private Fund Adviser Rules; Chapter 17",https://www.sec.gov/announcement-regarding-private-fund-advisers-rules
MTM034,2013,"Office of the Comptroller of the Currency; Federal Reserve Board; Federal Deposit Insurance Corporation","Interagency Guidance on Leveraged Lending","Federal Register notice (primary source)","Primary text of the March 22 2013 leveraged lending guidance; Chapter 3",https://www.federalregister.gov/documents/2013/03/22/2013-06567/interagency-guidance-on-leveraged-lending
MTM035,2025,"Office of the Comptroller of the Currency","Leveraged Lending: Interagency Statement on Recission of Interagency Leveraged Lending Guidance Issuances","Regulatory bulletin (primary source)","Primary source for the December 2025 rescission of the 2013 leveraged lending guidance; Chapters 3 20",https://www.occ.gov/news-issuances/bulletins/2025/bulletin-2025-44.html
MTM036,2025,"Banking Dive","OCC, FDIC scrap Obama-era leveraged lending guidance","Trade-press news report","Reporting connecting the December 2025 rescission explicitly to private credit's regulatory-share gains since 2013; Chapters 3 20",https://www.bankingdive.com/news/occ-fdic-scrap-leveraged-lending-guidance-private-credit/807295/
MTM037,2025,"Sullivan & Cromwell LLP","OCC and FDIC Rescind Interagency Leveraged Lending Guidance","Law-firm client alert","Additional legal summary and stated rationale ('overly restrictive') for the December 2025 rescission; Chapter 3",https://www.sullcrom.com/insights/memo/2025/December/OCC-FDIC-Rescind-Interagency-Leveraged-Lending-Guidance
MTM038,2025,"Mayer Brown","Leveraged Lending Guidance Withdrawn by OCC and FDIC","Law-firm client alert","Further confirmation and analysis of the December 2025 rescission; Chapter 3",https://www.mayerbrown.com/en/insights/publications/2025/12/leveraged-lending-guidance-withdrawn-by-occ-and-fdic
MTM039,2015,"CNBC","The Drexel collapse, 25 years later","Retrospective business journalism","Retrospective account of Drexel Burnham Lambert's February 1990 bankruptcy and its aftermath; Chapter 5",https://www.cnbc.com/2015/02/13/the-drexel-collpase-25-years-later.html
MTM040,2015,"Bloomberg Business","Renegades of Junk: The Rise and Fall of the Drexel Empire","Oral-history feature journalism","Detailed oral history of Drexel Burnham Lambert's junk-bond franchise and its roughly 50% underwriting market share at its peak; Chapter 5",https://www.bloomberg.com/graphics/2015-drexel-burnham-oral-history/
MTM041,2024,"Wikipedia contributors","Drexel Burnham Lambert","Encyclopedia reference entry","Baseline chronology cross-checked against primary/journalistic sources for Drexel's 1988 guilty plea, $650 million fine, and 1990 bankruptcy; Chapter 5",https://en.wikipedia.org/wiki/Drexel_Burnham_Lambert
MTM042,2024,"Encyclopaedia Britannica","Michael R. Milken summary","Encyclopedia reference entry","Baseline biographical chronology for Michael Milken's role at Drexel and 1990 guilty plea; Chapter 5",https://www.britannica.com/summary/Michael-R-Milken
MTM043,2026,"T. Rowe Price OCredit / OFlex","PIKing Your Spots in Private Credit","Asset manager research note","Data on PIK-by-amendment rising from 2.6% (2021) to 6.1% (Q3 2025) of direct lending investments, and the 'shadow default rate' argument; Chapter 9",https://www.troweprice.com/en/us/ocredit/insights/piking-your-spots-in-private-credit
MTM044,2025,"ABF Journal","The PIK Divide: Separating Structural Flexibility from Shadow Distress in Private Credit","Trade-press analysis","Distinction between structural, origination-built PIK toggles and distress-driven PIK-by-amendment; Chapter 9",https://www.abfjournal.com/the-pik-divide-separating-structural-flexibility-from-shadow-distress-in-private-credit/
MTM045,2025,"TCW","The Big PIK-ture","Asset manager research note","Additional practitioner data and framing on PIK prevalence trends through 2025; Chapter 9",https://www.tcw.com/insights/2025/2025-08-18-the-big-pik-ture
MTM046,2024,"S&P Global Ratings","BDC Assets Show the Prevalence of Payments in Kind Within Private Credit","Rating agency research note","S&P Global data point that roughly 7% of net investment income across a BDC sample was PIK interest; Chapter 9",https://www.spglobal.com/ratings/en/research/articles/241212-bdc-assets-show-the-prevalence-of-payments-in-kind-within-private-credit-13358578
MTM047,2026,"Heygo Trade (Financial news aggregator)","Blackstone BCRED Caps Private Credit Redemptions","Business news report","Reporting on Blackstone's June 4 2026 gating of BCRED redemptions and the roughly $4.4 billion in Q2 2026 redemption requests; Chapter 8",https://www.heygotrade.com/en/news/blackstone-bcred-caps-private-credit-redemptions/
MTM048,2026,"Angel Investors Network","Blackstone Gates BCRED: What BDC Investors Must Know","Trade-press explainer","Explanation of the 5% quarterly gate mechanism and its function as a disclosed structural feature of semi-liquid credit funds; Chapter 8",https://angelinvestorsnetwork.com/alternative-investments/blackstone-bcred-redemption-gating-private-credit-liquidity
MTM049,2026,"Larry Swedroe (Substack)","Is Private Credit's Smooth Ride Real - Or an Accounting Illusion?","Financial-analyst commentary","Analysis of valuation-smoothing concerns and reduced redemption caps at Barings and Cliffwater vehicles in Q1 2026; Chapters 7 8",https://larryswedroe.substack.com/p/is-private-credits-smooth-ride-real
MTM050,2026,"Larry Swedroe (Substack)","Private Credit Under the Microscope: How to Evaluate the Recent Coverage of Cliffwater's CCLFX","Financial-analyst commentary","Further detail on Cliffwater's own 2026 redemption-cap reduction amid rising investor demand for liquidity; Chapter 8",https://larryswedroe.substack.com/p/private-credit-under-the-microscope
MTM051,2026,"Larry Swedroe (Substack)","Benchmarking Private Credit: What the Data Actually Says","Financial-analyst commentary summarizing academic research","Summary of a February 2026 comparative study of MSCI, PitchBook, and Preqin private credit index construction; Chapters 6 19",https://larryswedroe.substack.com/p/benchmarking-private-credit-what
MTM052,2025,"PR Newswire (Cliffwater LLC release)","Cliffwater Direct Lending Index Data Supports Strength of Private Credit","Company press release (primary source)","Primary-source figures on the Cliffwater Direct Lending Index's roughly 9.5% annualized return since September 2010 inception and comparative realized loss rates; Chapter 19",https://www.prnewswire.com/news-releases/cliffwater-direct-lending-index-data-supports-strength-of-private-credit-302730370.html
MTM053,2026,"Family Wealth Report","Private Credit Promised An Illiquidity Premium. It Delivered A Liquidity Lesson","Trade-press analysis","Counterpoint framing used to balance Chapter 19's bull case against Chapter 8's liquidity-mismatch findings; Chapters 8 19",https://www.familywealthreport.com/article.php/-Private-Credit-Promised-An-Illiquidity-Premium.-It-Delivered-A-Liquidity-Lesson
MTM054,2026,"Institutional Investor","The Debate Over Private Credit Returns Is Just Heating Up","Trade-press analysis","Overview of the ongoing professional-investor debate over how to measure private credit returns net of risk; Chapter 19",https://www.institutionalinvestor.com/article/debate-over-private-credit-returns-just-heating
MTM055,2026,"top1000funds.com (hosting Ludovic Phalippou paper)","Limited Partners vs Unlimited Technologies","Academic/practitioner research paper","Phalippou's analysis of private-market valuation transparency and investor information gaps; Chapters 7 16",https://www.top1000funds.com/wp-content/uploads/2025/10/Limited-Partners-vs-Unlimited-Technologies-Ludovic-Phalippou.pdf
MTM056,2026,"Investment Company Institute","Valuation Governance Considerations for Private Credit Assets","Industry-association research report","Description of valuation-committee governance practice for private credit fair-value marks; Chapter 7",https://www.ici.org/system/files/2026-04/26-ppr-valuation-governance-for-private-credit-assets.pdf
MTM057,2025,"National Association of Insurance Commissioners","Insurance Topics: Private Equity","Regulatory-association reference page (primary source)","NAIC's own summary of its private-equity-in-insurance regulatory workstream, including the '13 Considerations'; Chapter 13",https://content.naic.org/insurance-topics/private-equity
MTM058,2025,"National Association of Insurance Commissioners","Insurance Topics: Private Credit","Regulatory-association reference page (primary source)","NAIC's dedicated private credit regulatory topic summary, including Private Rating Letter Rationale Report requirements; Chapters 13 14",https://content.naic.org/insurance-topics/private-credit
MTM059,2026,"Clifford Chance","The NAIC's Evolving Response to Private Equity in Insurance","Law-firm client alert","Analysis of Actuarial Guideline 55 (adopted August 2025) and the phase-out of the 'investment subsidiary' reporting concept; Chapter 13",https://www.cliffordchance.com/insights/resources/blogs/insurance-insights/2026/03/the-naics-evolving-response-to-private-equity-in-insurance.html
MTM060,2025,"Sidley Austin LLP (Data Matters blog)","Regulatory Update: NAIC Summer 2025 National Meeting","Law-firm client alert","Contemporaneous regulatory-meeting summary confirming the August 2025 adoption of Actuarial Guideline 55; Chapter 13",https://datamatters.sidley.com/2025/09/09/regulatory-update-national-association-of-insurance-commissioners-summer-2025-national-meeting/
MTM061,2024,"Mayer Brown","US State Insurance Regulatory Scrutiny of Private Equity Investors in the Insurance Industry","Law-firm client alert","Background on the origin and scope of state-level scrutiny of private-equity-owned insurers; Chapter 13",https://www.mayerbrown.com/en/insights/publications/2024/06/us-state-insurance-regulatory-scrutiny-of-private-equity-investors-in-the-insurance-industry
MTM062,2026,"AnnuityJournal.org","Global Atlantic Annuity Review: Rates & KKR Backing","Trade-press company profile","Global Atlantic assets-under-management growth figures under KKR ownership; Chapter 13",https://annuityjournal.org/carrier-reviews/global-atlantic-annuity-review/
MTM063,2024,"CNBC","BlackRock expanding in private credit, buys HPS Investment Partners for $12 billion","Business news report","Primary deal terms for BlackRock's December 2024 announced acquisition of HPS Investment Partners; Chapters 2 6",https://www.cnbc.com/2024/12/03/blackrock-expanding-in-private-credit-buys-hps-investment-partners-for-12-billion.html
MTM064,2025,"BlackRock, Inc.","BlackRock Completes Acquisition of HPS Investment Partners","Company press release (primary source)","Primary-source confirmation that the acquisition closed July 1 2025, creating a roughly $190-220 billion combined private credit franchise; Chapters 2 6",https://ir.blackrock.com/news-and-events/press-releases/press-releases-details/2025/BlackRock-Completes-Acquisition-of-HPS-Investment-Partners/default.aspx
MTM065,2019,"Gary B. Gorton; Andrew Metrick","Securitized Banking and the Run on Repo","NBER working paper (peer-reviewed economics research)","Foundational 'informationally insensitive debt' and repo-run framework used as the comparative lens against 2025-2026 private credit structure; Chapter 18",https://www.nber.org/system/files/working_papers/w15223/w15223.pdf
MTM066,2018,"Gary B. Gorton","The Run on Repo and the Fed's Response","NBER working paper (peer-reviewed economics research)","Further development of the shadow-banking panic framework applied comparatively in Chapter 18",https://www.nber.org/system/files/working_papers/w24866/w24866.pdf
