id,year,author_or_institution,title,source_type,book_use,url
sat-ch01-001,2026,Center for AI Safety; Scale AI; HLE Contributors Consortium,"A benchmark of expert-level academic questions to assess AI capabilities",Peer-reviewed research article,"Chapter 1: establishes HLE as a 2,500-question expert-level academic benchmark created because popular benchmarks such as MMLU had exceeded 90% for frontier models. The paper explicitly bounds HLE to academic knowledge/reasoning rather than generalized real-world competence.",https://www.nature.com/articles/s41586-025-09962-4
sat-ch01-002,2026,Scale AI,"Humanity's Last Exam leaderboard",Official benchmark leaderboard,"Chapter 1: September 17 2026 update documents HLE-Rolling, replacement of some easier items with harder held-out questions, and the stated need for a migration path as frontier models approach the original dataset's noise ceiling. Scores are fast-moving and must be dated.",https://labs.scale.com/leaderboard/humanitys_last_exam
sat-ch01-003,2025,Scale AI,"Scale AI and CAIS Unveil Results of Humanity’s Last Exam",Official benchmark launch report,"Chapter 1 chronology: January 2025 preview results reported frontier models answering fewer than 10% of expert questions correctly. Use as a launch snapshot, not a current capability claim.",https://scale.com/blog/humanitys-last-exam-results
sat-ch01-004,2026,Stanford Institute for Human-Centered Artificial Intelligence,"2026 AI Index Report — Technical Performance",Annual research report,"Chapter 1: reports roughly 30 percentage-point one-year gains on HLE and notes evaluations intended to remain challenging for years can saturate in months. Treat as synthesis of benchmark results, not a universal measure of intelligence.",https://hai.stanford.edu/assets/files/ai_index_report_2026_chapter_2_technical.pdf
sat-ch01-005,2026,Anthropic,"Eval awareness in Claude Opus 4.6’s BrowseComp performance",First-party evaluation analysis,"Chapter 1/6: documents nine ordinary contamination cases plus two cases in which the evaluated model inferred the benchmark and located/decrypted answer material. First-party report; do not generalize the behavior to all models or evaluations.",https://www.anthropic.com/engineering/eval-awareness-browsecomp
sat-ch01-006,2026,OpenAI,"Why SWE-bench Verified no longer measures frontier coding capabilities",First-party evaluation audit,"Chapter 1/5: OpenAI argues SWE-bench Verified had become increasingly contaminated and no longer supplied meaningful frontier coding signal. Use as one lab's documented rationale and pair with independent evaluation work.",https://openai.com/index/why-we-no-longer-evaluate-swe-bench-verified/
sat-ch01-007,2026,OpenAI,"Separating signal from noise in coding evaluations",First-party benchmark audit,"Chapter 1/8: audit of SWE-Bench Pro estimated about 30% of tasks were broken, with pipeline and human-review estimates spanning roughly 27% to 34%. Use categories of defects and uncertainty; do not treat the estimate as a property of all coding benchmarks.",https://openai.com/index/separating-signal-from-noise-coding-evaluations/
sat-ch01-008,2026,METR,"Many SWE-bench-Passing PRs Would Not Be Merged into Main",Independent evaluation research note,"Chapter 1/8: distinguishes automated benchmark pass from human maintainer acceptance on reviewed patches. Use as evidence that grader success and production acceptability can diverge.",https://metr.org/notes/2026-03-10-many-swe-bench-passing-prs-would-not-be-merged-into-main/
sat-ch01-009,2026,METR,"Task-Completion Time Horizons of Frontier AI Models",Independent evaluation methodology/results,"Chapter 1/10: current TH1.1 methodology maps agent success to human-expert task duration; page warns measurements above 16 hours are unreliable on the current suite. Do not paraphrase time horizon as continuous unattended work duration.",https://metr.org/time-horizons/
sat-ch01-010,2026,METR,"Frontier Risk Report (February to March 2026)",Independent evaluation report,"Chapter 1/10: reports substantial saturation of Time Horizon 1.1 and full saturation of an early MirrorCode suite by strongest tested agents, increasing uncertainty in point estimates. Results are software-heavy and not economy-wide autonomy measures.",https://metr.org/blog/2026-05-19-frontier-risk-report/
sat-ch01-011,2026,METR,"Impact of modeling assumptions on time horizon results",Independent methodological note,"Chapter 1/10: explains how task-suite saturation increases sensitivity to modeling choices and documents correction of a regularization mistake affecting recent estimates. Use to show measurement self-correction, not to discredit the metric.",https://metr.org/notes/2026-03-20-impact-of-modelling-assumptions-on-time-horizon-results/
sat-ch01-012,2026,METR,"Clarifying limitations of time horizon",Independent methodological note,"Chapter 10: authors explicitly warn against overstating precision and against treating time horizon as literal uninterrupted independent work duration.",https://metr.org/notes/2026-01-22-time-horizon-limitations/
sat-ch01-013,2025,National Institute of Standards and Technology,"Assessing Risks and Impacts of AI (ARIA): Pilot Evaluation Report",Federal technical report,"Chapter 1/19: ARIA combines model testing, red teaming, and field/user testing and introduces measurement-tree reasoning for application validity. Use as a concrete alternative to single-score evaluation.",https://www.nist.gov/publications/assessing-risks-and-impacts-ai-aria-pilot-evaluation-report
sat-ch01-014,2026,National Institute of Standards and Technology,"The TEVV-Athlon Framework for Evaluating AI Systems",Federal draft evaluation framework,"Chapter 1/19: August 2026 draft presents extensible test/evaluation/verification/validation for varied AI applications; still a draft and should be labeled accordingly.",https://www.nist.gov/artificial-intelligence/ai-research/tevv-athlon-framework-evaluating-ai-systems
sat-front-001,2026,U.S. Nuclear Regulatory Commission,"Too Cheap to Meter: A History of the Phrase",Federal historical analysis,"Front matter: documents Lewis Strauss's 1954 prediction and the long-running dispute over whether he implicitly meant fission or classified fusion research. The manuscript uses only the documented phrase and should not claim a settled hidden referent.",https://www.nrc.gov/education-regulatory-research/history-101/too-cheap-to-meter-a-history-of-the-phrase
sat-found-001,2017,"Yuliy Sannikov et al.","Corrective Policy and Goodhart’s Law: The Case of Carbon Emissions from Automobiles",Academic economics paper,"Chapter 4 starting point for target-induced measure distortion. Use alongside original Goodhart sources before publication rather than treating the popular slogan as the complete historical formulation.",https://www.aeaweb.org/conference/2017/preliminary/paper/s872ErRF
