id,year,author_or_institution,title,source_type,book_use,url
the-abstraction-trap-001,n.d.,Library of Congress,Mercator cartographic material,primary collection,Chapter: 1; Claim area: cartography; Notes: Projection used as bounded representation example,https://www.loc.gov/item/2021668435/
the-abstraction-trap-002,n.d.,USGS,Map projections,government technical,Chapter: 1; Claim area: map projection; Notes: Projection distortion and purpose,https://www.usgs.gov/programs/core-science-systems/national-geospatial-program/map-projections
the-abstraction-trap-003,1948,Claude E. Shannon,A Mathematical Theory of Communication,original research,Chapter: 2; Claim area: information theory; Notes: Bounded abstraction deliberately excluding semantics,https://doi.org/10.1002/j.1538-7305.1948.tb01338.x
the-abstraction-trap-004,1978,Nobel Prize,Herbert A. Simon facts,authoritative biography,Chapter: 2; Claim area: bounded rationality; Notes: Administrative decision-making context,https://www.nobelprize.org/prizes/economic-sciences/1978/simon/facts/
the-abstraction-trap-005,1988,Russell W. Belk,Possessions and the Extended Self,original research,Chapter: 3; Claim area: consumer meaning; Notes: Material goods and identity; Chapter: 8; Claim area: consumer psychology; Notes: Identity and consumption; Legacy duplicate source id: the-abstraction-trap-013,https://doi.org/10.1086/209154
the-abstraction-trap-006,n.d.,BEA,Methodologies,government methodology,Chapter: 4; Claim area: national accounting; Notes: Scope of GDP and national accounts,https://www.bea.gov/resources/methodologies
the-abstraction-trap-007,n.d.,FASB,Accounting standards resources,standards body,Chapter: 4; Claim area: financial accounting; Notes: Accounting conventions and reporting,https://www.fasb.org/
the-abstraction-trap-008,1998,Federal Reserve History,Long-Term Capital Management 1998,official history,Chapter: 5; Claim area: LTCM; Notes: Private recapitalization and Fed facilitation; Chapter: 10; Claim area: LTCM; Notes: Leverage liquidity and correlated response case; Legacy duplicate source id: the-abstraction-trap-018,https://www.federalreservehistory.org/essays/ltcm-near-failure
the-abstraction-trap-009,1998,U.S. Treasury,LTCM testimony,government testimony,Chapter: 5; Claim area: LTCM leverage; Notes: End-1997 assets and capital,https://home.treasury.gov/news/press-releases/rr3137
the-abstraction-trap-010,1986,David J. Teece,Profiting from technological innovation,original research,Chapter: 6; Claim area: innovation capture; Notes: Complementary assets and capture; Chapter: 21; Claim area: innovation capture; Notes: Complementary assets and strategic capture; Legacy duplicate source id: the-abstraction-trap-034,https://doi.org/10.1016/0048-7333(86)90027-2
the-abstraction-trap-011,1976,Donald T. Campbell,Assessing the Impact of Planned Social Change,original policy research,Chapter: 7; Claim area: metric corruption; Notes: High-stakes indicators and corruption pressure,https://doi.org/10.56645/jmde.v7i15.297
the-abstraction-trap-012,n.d.,Bank of England,Charles Goodhart biography,authoritative biography,Chapter: 7; Claim area: Goodhart principle; Notes: Context for Goodhart-associated principle,https://www.bankofengland.co.uk/about/people/charles-goodhart/biography
the-abstraction-trap-014,n.d.,FTC,Privacy and Security,regulator,Chapter: 8; Claim area: data practices; Notes: Consumer data governance context,https://www.ftc.gov/business-guidance/privacy-security
the-abstraction-trap-015,1973,Michael Spence,Job Market Signaling,original research,Chapter: 9; Claim area: credentials; Notes: Education and signaling theory,https://doi.org/10.2307/1882010
the-abstraction-trap-016,n.d.,Self-Determination Theory,Research and bibliography,research program,Chapter: 9; Claim area: motivation; Notes: Intrinsic/extrinsic motivation nuance,https://selfdeterminationtheory.org/
the-abstraction-trap-017,2026,Federal Reserve,SR 26-2 Model Risk Management,current regulator,Chapter: 10; Claim area: model risk; Notes: Current dated model-risk guidance,https://www.federalreserve.gov/supervisionreg/srletters/SR2602.htm
the-abstraction-trap-019,1986,Presidential Commission/NASA,Rogers Commission Report,primary investigation,Chapter: 11; Claim area: Challenger; Notes: O-ring and launch decision evidence; Chapter: 23; Claim area: synthesis; Notes: Independent challenge and physical mechanism example; Legacy duplicate metadata: NASA/Rogers Commission — Challenger Report; Legacy duplicate source id: the-abstraction-trap-038,https://ntrs.nasa.gov/archive/nasa/casi.ntrs.nasa.gov/19870002391.pdf
the-abstraction-trap-020,1967,National Archives,Pentagon Papers,primary archive,Chapter: 12; Claim area: Vietnam decision history; Notes: U.S. decision-making record,https://www.archives.gov/research/pentagon-papers
the-abstraction-trap-021,1968,U.S. Intelligence Community,Tet at Fifty,official declassified analysis,Chapter: 12; Claim area: Tet; Notes: Tactical and strategic interpretation plus intelligence record,https://www.intelligence.gov/tet-declassified/tet-at-fifty
the-abstraction-trap-022,n.d.,FTC,Federal Trade Commission,regulator,Chapter: 13; Claim area: platform governance; Notes: Competition and digital-platform context,https://www.ftc.gov/
the-abstraction-trap-023,2023,NIST,AI Risk Management Framework 1.0,current technical framework,Chapter: 14; Claim area: AI risk; Notes: Govern map measure manage framework; Chapter: 23; Claim area: synthesis; Notes: Bounded representation and governance example; Legacy duplicate source id: the-abstraction-trap-037,https://doi.org/10.6028/NIST.AI.100-1
the-abstraction-trap-024,n.d.,SEC,EDGAR,regulator,Chapter: 15; Claim area: corporate disclosure; Notes: Formal legal and financial representation of companies,https://www.sec.gov/edgar
the-abstraction-trap-025,n.d.,SEC Investor.gov,Index Fund,regulator education,Chapter: 16; Claim area: index funds; Notes: Index tracking mechanism,https://www.investor.gov/introduction-investing/investing-basics/glossary/index-fund
the-abstraction-trap-026,n.d.,S&P Dow Jones Indices,Methodology Library,index provider,Chapter: 16; Claim area: index methodology; Notes: Rule-based index construction,https://www.spglobal.com/spdji/en/documents/methodologies/
the-abstraction-trap-027,n.d.,SEC,Office of Credit Ratings,regulator,Chapter: 16; Claim area: ratings; Notes: Rating-agency oversight,https://www.sec.gov/about/divisions-offices/office-credit-ratings
the-abstraction-trap-028,n.d.,UNESCO,Brasilia World Heritage,international heritage authority,Chapter: 17; Claim area: Brasilia; Notes: Planning and architectural context,https://whc.unesco.org/en/list/445/
the-abstraction-trap-029,n.d.,NIOSH,Worker health resources,government research,Chapter: 18; Claim area: work and occupational health; Notes: Work organization and well-being context,https://www.cdc.gov/niosh/
the-abstraction-trap-030,n.d.,BLS,CPS Definitions,government methodology,Chapter: 19; Claim area: labor definitions; Notes: Unemployment and labor-force categories,https://www.bls.gov/cps/definitions.htm
the-abstraction-trap-031,n.d.,BLS,CPI Questions and Answers,government methodology,Chapter: 19; Claim area: inflation; Notes: Population index versus household experience,https://www.bls.gov/cpi/questions-and-answers.htm
the-abstraction-trap-032,2015,Open Science Collaboration,Estimating the reproducibility of psychological science,original research,Chapter: 20; Claim area: reproducibility; Notes: Replication evidence,https://doi.org/10.1126/science.aac4716
the-abstraction-trap-033,2019,National Academies,Reproducibility and Replicability in Science,authoritative synthesis,Chapter: 20; Claim area: reproducibility; Notes: Field-sensitive replication and reproducibility distinctions,https://nap.nationalacademies.org/catalog/25303/reproducibility-and-replicability-in-science
the-abstraction-trap-035,n.d.,Census Bureau,Business Dynamics Statistics,government data,Chapter: 21; Claim area: firm dynamics; Notes: Firm entry and exit context,https://www.census.gov/programs-surveys/bds.html
the-abstraction-trap-036,n.d.,NTSB,Investigations,independent federal agency,Chapter: 22; Claim area: accident investigation; Notes: Independent reality contact and investigation methods,https://www.ntsb.gov/investigations/Pages/default.aspx
