id,year,author_or_institution,title,source_type,book_use,url
hln-001,2012,Samuel Arbesman,The Half-Life of Facts,Book,Background on changing bodies of knowledge,https://www.penguinrandomhouse.com/books/212057/the-half-life-of-facts-by-samuel-arbesman/
hln-002,n.d.,Encyclopaedia Britannica,Cultural lag,Reference,Background on Ogburn's concept of social change moving at different rates,https://www.britannica.com/topic/cultural-lag
hln-003,2023,National Institute of Standards and Technology,AI Risk Management Framework,Official framework,Model monitoring governance and changing deployment conditions,https://www.nist.gov/itl/ai-risk-management-framework
hln-004,n.d.,European Commission,Data protection rules for citizens,Official guidance,Rectification accuracy retention and data rights,https://commission.europa.eu/law/law-topic/data-protection/data-protection-eu_en
hln-005,n.d.,Federal Trade Commission,Credit and Your Consumer Rights,Official consumer guidance,Correction and aging consequences in consumer records,https://consumer.ftc.gov/articles/credit-and-your-consumer-rights
hln-006,n.d.,U.S. Census Bureau,U.S. Census Bureau,Institution homepage,Population measurement and revision of public maps,https://www.census.gov/
hln-007,n.d.,U.S. Bureau of Labor Statistics,U.S. Bureau of Labor Statistics,Institution homepage,Revision and release cadence of economic statistics,https://www.bls.gov/
hln-008,n.d.,Federal Reserve Bank of St. Louis,Federal Reserve Economic Data,Data portal,Time series revision and economic decision context,https://fred.stlouisfed.org/
hln-009,n.d.,U.S. Food and Drug Administration,U.S. Food and Drug Administration,Institution homepage,Changing evidence regulation and safety communications,https://www.fda.gov/
hln-010,n.d.,Centers for Disease Control and Prevention,Centers for Disease Control and Prevention,Institution homepage,Guidance surveillance and changing public-health conditions,https://www.cdc.gov/
hln-011,n.d.,Intergovernmental Panel on Climate Change,Intergovernmental Panel on Climate Change,Institution homepage,Assessment cycles and long-horizon climate evidence,https://www.ipcc.ch/
hln-012,n.d.,National Oceanic and Atmospheric Administration,National Oceanic and Atmospheric Administration,Institution homepage,Observation forecasting and continuously changing environmental conditions,https://www.noaa.gov/
hln-013,n.d.,U.S. Securities and Exchange Commission,U.S. Securities and Exchange Commission,Institution homepage,Market structure disclosure and information-timing context,https://www.sec.gov/
hln-014,2024,Associated Press,AP Stylebook updates AI guidance,Standards update,Verification and correction norms in fast information environments,https://www.ap.org/media-center/press-releases/2024/ap-stylebook-updates-ai-guidance/
hln-015,n.d.,International Committee of the Red Cross,Autonomous weapon systems: technical military legal and humanitarian aspects,Institutional analysis,Human judgment and machine-speed decision concerns,https://www.icrc.org/en/document/autonomous-weapon-systems-technical-military-legal-and-humanitarian-aspects
hln-016,n.d.,Federal Emergency Management Agency,Federal Emergency Management Agency,Institution homepage,Hazard maps planning and revision of public risk information,https://www.fema.gov/
hln-017,n.d.,National Center for Education Statistics,National Center for Education Statistics,Institution homepage,Education statistics and institutional measurement,https://nces.ed.gov/
