id,year,author_or_institution,title,source_type,book_use,url
rof-ch01-001,2026,NVIDIA,"DCGM — Profiling",Technical documentation,"Chapters 1 and 20: distinguishes SM activity, occupancy, tensor-pipe activity, DRAM activity, and other profiling counters; supports the warning that one utilization percentage cannot diagnose end-to-end useful work.",https://docs.nvidia.com/datacenter/dcgm/latest/learn/modules/profiling.html
rof-ch01-002,2026,NVIDIA,"DCGM Exporter Metrics",Technical documentation,"Chapters 1 and 20: inventory of device, power, memory, PCIe, NVLink, utilization, and profiling metrics used to connect accelerator behavior to system bottlenecks.",https://docs.nvidia.com/datacenter/dcgm/latest/reference/dcgm-exporter-metrics.html
rof-ch01-003,2026,NVIDIA,"Multi-Instance GPU User Guide — Introduction",Technical documentation,"Chapters 1, 10, and 19: evidence that a physical GPU can be partitioned into isolated instances to improve sharing and quality of service; partitioning remains workload-dependent.",https://docs.nvidia.com/datacenter/tesla/mig-user-guide/introduction.html
rof-ch02-001,2026,MLCommons,"MLPerf Inference — Submission Guide",Benchmark documentation,"Chapter 2: MLPerf defines separate Datacenter Offline, Server, and Interactive scenarios, illustrating that throughput and latency are different operating objectives rather than one universal performance number.",https://docs.mlcommons.org/inference/submission/
rof-ch02-002,2026,MLCommons,"MLPerf Inference Datacenter",Benchmark program,"Chapter 2: current datacenter inference benchmark context; use benchmark results only within their specified models, quality targets, scenarios, and hardware configurations.",https://mlcommons.org/benchmarks/inference-datacenter/
rof-ch03-001,2026,NVIDIA,"NVIDIA H100 Tensor Core GPU",Hardware specification,"Chapters 3 and 15: hardware context for HBM capacity, memory bandwidth, accelerator power, and peak arithmetic capability; peak specifications are not sustained application performance.",https://www.nvidia.com/en-us/data-center/h100/
rof-ch03-002,2022,"Tri Dao; Daniel Y. Fu; Stefano Ermon; Atri Rudra; Christopher Ré","FlashAttention: Fast and Memory-Efficient Exact Attention with IO-Awareness",Research paper,"Chapter 3: demonstrates that reducing reads and writes between GPU memory levels can materially improve transformer wall-clock performance without changing the exact attention result.",https://arxiv.org/abs/2205.14135
rof-ch03-003,2023,"Woosuk Kwon et al.","Efficient Memory Management for Large Language Model Serving with PagedAttention",Research paper,"Chapters 3 and 4: documents KV-cache fragmentation and duplication as serving bottlenecks and reports 2–4x throughput gains for vLLM in the paper's evaluated settings; do not generalize the multiplier.",https://arxiv.org/abs/2309.06180
rof-ch03-004,2026,NVIDIA,"CUDA C++ Best Practices Guide",Technical documentation,"Chapters 3 and 11: supports the practical importance of coalesced memory access, minimizing host-device transfers, and overlapping data movement with computation where applicable.",https://docs.nvidia.com/cuda/cuda-c-best-practices-guide/index.html
rof-ch03-005,2026,NVIDIA,"TensorRT-LLM — KV Cache System",Technical documentation,"Chapters 3, 5, and 8: describes block-based KV-cache management, reuse, offload, and eviction; shows that cache policy is part of serving capacity.",https://nvidia.github.io/TensorRT-LLM/features/kvcache.html
rof-ch04-001,2026,vLLM Project,"vLLM Documentation",Technical documentation,"Chapters 4, 5, 7, 8, and 17: current serving features include PagedAttention, continuous batching, chunked prefill, prefix caching, quantization, speculative decoding, and distributed inference.",https://docs.vllm.ai/en/stable/
rof-ch04-002,2026,NVIDIA,"TensorRT-LLM — Attention",Technical documentation,"Chapter 4: documents in-flight batching and packed request handling as techniques for combining context and generation work while reducing padding waste.",https://nvidia.github.io/TensorRT-LLM/features/attention.html
rof-ch04-003,2026,NVIDIA,"TensorRT-LLM — Tuning Max Batch Size and Max Num Tokens",Performance guide,"Chapter 4: shows that batch and token scheduler limits are explicit performance knobs and that optimal values depend on workload and hardware.",https://nvidia.github.io/TensorRT-LLM/latest/legacy/performance/performance-tuning-guide/tuning-max-batch-size-and-max-num-tokens.html
rof-ch05-001,2026,vLLM Project,"Automatic Prefix Caching",Technical documentation,"Chapters 5 and 8: explains reuse of KV-cache blocks for repeated prefixes to avoid redundant prompt computation; benefit depends on prefix reuse in the workload.",https://docs.vllm.ai/en/latest/design/prefix_caching/
rof-ch05-002,2026,NVIDIA,"TensorRT-LLM — Memory Usage of TensorRT-LLM",Technical documentation,"Chapter 5: documents how runtime memory includes model and KV-cache allocations and how context length, batch size, and generated tokens affect serving memory requirements.",https://nvidia.github.io/TensorRT-LLM/reference/memory.html
rof-ch05-003,2026,NVIDIA,"Megatron Core — Context Parallelism",Technical documentation,"Chapters 5 and 12: explains context parallelism as a method for distributing long-sequence activations and the communication tradeoffs that accompany it.",https://docs.nvidia.com/megatron-core/developer-guide/latest/user-guide/features/context_parallel.html
rof-ch06-001,2024,"Isaac Ong et al.","RouteLLM: Learning to Route LLMs with Preference Data",Research paper,"Chapter 6: demonstrates learned routing between stronger and weaker models and reports more than 2x cost reduction in some benchmark settings without response-quality loss; production transfer is not guaranteed.",https://arxiv.org/abs/2406.18665
rof-ch06-002,2023,"Lingjiao Chen; Matei Zaharia; James Zou","FrugalGPT: How to Use Large Language Models While Reducing Cost and Improving Performance",Research paper,"Chapter 6: evaluates model cascades, prompt adaptation, and approximation for cost-aware LLM use; reported savings are benchmark-specific and should not be treated as universal production economics.",https://arxiv.org/abs/2305.05176
