id,year,author_or_institution,title,source_type,book_use,url
bandura-1977,1977,Albert Bandura,"Self-efficacy: Toward a unifying theory of behavioral change",peer-reviewed journal article,"Capability beliefs; mastery experiences; bounded support for identity evidence",https://doi.org/10.1037/0033-295X.84.2.191
bem-1972,1972,Daryl J. Bem,Self-Perception Theory,scholarly book chapter,"Behavior as one source of self-inference when internal cues are weak or ambiguous",https://doi.org/10.1016/S0065-2601(08)60024-6
gollwitzer-1999,1999,Peter M. Gollwitzer,"Implementation intentions: Strong effects of simple plans",peer-reviewed journal article,"Bridging intentions and initiation through cue-linked plans",https://doi.org/10.1037/0003-066X.54.7.493
oyserman-2009,2009,Daphna Oyserman,"Identity-based motivation: Implications for action-readiness, procedural-readiness, and consumer behavior",peer-reviewed journal article,"Identity salience; context; action-readiness; dynamic meaning of identities",https://doi.org/10.1016/j.jcps.2009.05.008
buehler-griffin-ross-1994,1994,"Roger Buehler; Dale Griffin; Michael Ross","Exploring the planning fallacy: Why people underestimate their task completion times",peer-reviewed journal article,"Future-plan focus; use of relevant past experience in estimating completion time",https://doi.org/10.1037/0022-3514.67.3.366
dai-milkman-riis-2014,2014,"Hengchen Dai; Katherine L. Milkman; Jason Riis","The Fresh Start Effect: Temporal Landmarks Motivate Aspirational Behavior",peer-reviewed journal article,"Temporal landmarks and aspirational behavior; limits of fresh-start rhetoric",https://doi.org/10.1287/mnsc.2014.1901
madrian-shea-2001,2001,"Brigitte C. Madrian; Dennis F. Shea","The Power of Suggestion: Inertia in 401(k) Participation and Savings Behavior",peer-reviewed journal article,"Automatic enrollment and default effects as evidence that decision architecture shapes behavior",https://doi.org/10.1162/003355301753265543
iyengar-lepper-2000,2000,"Sheena S. Iyengar; Mark R. Lepper","When choice is demotivating: Can one desire too much of a good thing?",peer-reviewed journal article,"Selection cost and bounded use of choice-overload evidence",https://doi.org/10.1037/0022-3514.79.6.995
ariely-wertenbroch-2002,2002,"Dan Ariely; Klaus Wertenbroch","Procrastination, Deadlines, and Performance: Self-Control by Precommitment",peer-reviewed journal article,"Self-imposed deadlines; precommitment; limits of self-designed deadline structures",https://doi.org/10.1111/1467-9280.00441
nunes-dreze-2006,2006,"Joseph C. Nunes; Xavier Drèze","The Endowed Progress Effect: How Artificial Advancement Increases Effort",peer-reviewed journal article,"Perceived prior progress and persistence; narrow analogy for moving away from zero",https://doi.org/10.1086/500480
weick-1984,1984,Karl E. Weick,"Small wins: Redefining the scale of social problems",peer-reviewed journal article,"Small concrete outcomes; scaling difficult problems into actionable units",https://doi.org/10.1037/0003-066X.39.1.40
lally-et-al-2010,2010,"Phillippa Lally; Cornelia H. M. van Jaarsveld; Henry W. W. Potts; Jane Wardle","How are habits formed: Modelling habit formation in the real world",peer-reviewed journal article,"Variation in habit automaticity; missed opportunities; repeated behavior in stable context",https://doi.org/10.1002/ejsp.674
leroy-2009,2009,Sophie Leroy,"Why is it so hard to do my work? The challenge of attention residue when switching between work tasks",peer-reviewed journal article,"Unfinished tasks; attention residue; transition costs between tasks",https://doi.org/10.1016/j.obhdp.2009.04.002
masicampo-baumeister-2011,2011,"E. J. Masicampo; Roy F. Baumeister","Consider it done! Plan making can eliminate the cognitive effects of unfulfilled goals",peer-reviewed journal article,"Specific plans for resuming unfulfilled goals; bounded evidence that planning can reduce intrusive goal activation and interference",https://doi.org/10.1037/a0024192
ibarra-1999,1999,Herminia Ibarra,"Provisional Selves: Experimenting with Image and Identity in Professional Adaptation",peer-reviewed journal article,"Role experimentation; possible professional identities; feedback and adaptation",https://doi.org/10.2307/2667055
wrosch-et-al-2003,2003,"Carsten Wrosch; Michael F. Scheier; Gregory E. Miller; Richard Schulz; Charles S. Carver","Adaptive Self-Regulation of Unattainable Goals: Goal Disengagement, Goal Reengagement, and Subjective Well-Being",peer-reviewed journal article,"Goal disengagement and reengagement; counterweight to persistence-only narratives",https://doi.org/10.1177/0146167203256921
norton-mochon-ariely-2012,2012,"Michael I. Norton; Daniel Mochon; Dan Ariely","The IKEA effect: When labor leads to love",peer-reviewed journal article,"Bounded analogy for attachment to self-made work and the need for critical distance",https://doi.org/10.1016/j.jcps.2011.08.002
edmondson-1999,1999,Amy Edmondson,Psychological Safety and Learning Behavior in Work Teams,peer-reviewed journal article,"Interpersonal risk taking; team learning; conditions for visible beginner behavior",https://doi.org/10.2307/2666999
march-1991,1991,James G. March,Exploration and Exploitation in Organizational Learning,peer-reviewed journal article,"Exploration versus exploitation; why mature systems overinvest in known capabilities",https://doi.org/10.1287/orsc.2.1.71
tedeschi-calhoun-2004,2004,"Richard G. Tedeschi; Lawrence G. Calhoun","Posttraumatic Growth: Conceptual Foundations and Empirical Evidence",peer-reviewed journal article,"Definition and empirical framing of reported posttraumatic growth; used with explicit non-universality caution",https://doi.org/10.1207/S15327965PLI1501_01
