id,year,author_or_institution,title,source_type,book_use,url
S001,n.d.,William F. Ogburn,Social Change with Respect to Culture and Original Nature (1922),book,"Cultural lag; unequal rates of material and nonmaterial change; Chapters: 1,2,3,12; Caveat: Historical sociology; do not universalize the direction of lag",https://books.google.com/books?id=tTlFAAAAIAAJ
S002,n.d.,Alvin Toffler,Future Shock (1970),book,"Change overload and adaptation; Chapters: 1,2,5,13; Caveat: Popular futurism; avoid treating its forecasts as empirical law",https://search.worldcat.org/title/87496
S003,n.d.,Hartmut Rosa,Social Acceleration: A New Theory of Modernity (2013),book,"Technological acceleration; social change; pace of life; Chapters: 2,3,5,12; Caveat: Critical theory, not a universal quantitative measure",https://cup.columbia.edu/book/social-acceleration/9780231148351/
S004,n.d.,Danny Dorling,The Pace of Change (2020),essay,"Counterclaim to reflexive unprecedented-acceleration rhetoric; Chapters: 1,5; Caveat: Essay tied to Dorling's broader slowdown argument",https://yalebooks.yale.edu/2020/05/20/the-pace-of-change/
S005,n.d.,Carlota Perez,Technological Revolutions and Financial Capital (2002),book,"Technology diffusion; installation and deployment; institutional time lags; Chapters: 2,5,9; Caveat: Long-wave interpretation is debated; use as analytical history",https://carlotaperez.org/books/
S006,n.d.,David Collingridge,The Social Control of Technology (1980),book,"Control dilemma; reversibility and entrenchment; Chapters: 2,9; Caveat: Do not compress into a slogan without the uncertainty/entrenchment tradeoff",https://books.google.com/books?id=2q_uAAAAMAAJ
S007,n.d.,Posen,"Keil, Kim, Meissner, Organizational Adaptation review",article,Definition and literature map for organizational adaptation; Chapters: 2; Caveat: Review integrates heterogeneous traditions,https://pmc.ncbi.nlm.nih.gov/articles/PMC7736401/
S008,n.d.,Azeem Azhar,The Exponential Age Will Transform Economics Forever (2021),article,"Exponential-gap predecessor and technology/institution mismatch; Chapters: 2,5; Caveat: Popular synthesis rather than primary empirical research",https://www.wired.com/story/exponential-age-azeem-azhar/
S009,n.d.,Everett M. Rogers,"Diffusion of Innovations, 5th ed. (2003)",book,"Adoption curves; diffusion; reinvention; social systems; Chapters: 3,5,9,10; Caveat: Diffusion patterns differ by technology and context",https://books.google.com/books?id=9U1K5LjUOwEC
S010,n.d.,Zvi Griliches,Hybrid Corn: An Exploration in the Economics of Technological Change (1957),article,"Empirical technology diffusion; Chapters: 5; Caveat: Historical agricultural case, not generic diffusion constant",https://doi.org/10.2307/1905380
