chapter,topic,source,year,url,use,pressure_test
2-4,Landauer principle,Rolf Landauer — Irreversibility and Heat Generation in the Computing Process,1961,https://doi.org/10.1147/rd.53.0183,"Foundational logically irreversible erasure result","Do not generalize the erasure bound to every measurement or thought"
2-4,Maxwell demon,Charles H. Bennett — The Thermodynamics of Computation—a Review,1982,https://doi.org/10.1007/BF02084158,"Reversible computation and demon memory bookkeeping","Measurement can in principle be reversible; cyclic reset is the key issue"
2-4,Landauer review,Iulia Georgescu — 60 years of Landauer’s principle,2021,https://www.nature.com/articles/s42254-021-00382-0,"Modern historical and technical review","Use review language to keep scope narrow"
3,experimental Landauer,Antoine Bérut et al. — Experimental verification of Landauer’s principle linking information and thermodynamics,2012,https://doi.org/10.1038/nature10872,"Colloidal-particle erasure experiment","Finite-time protocols can dissipate above the asymptotic bound"
5,thermal noise,J. B. Johnson — Thermal Agitation of Electricity in Conductors,1928,https://doi.org/10.1103/PhysRev.32.97,"Experimental Johnson noise","Noise is equilibrium physics, not necessarily device defect"
5,thermal noise,H. Nyquist — Thermal Agitation of Electric Charge in Conductors,1928,https://doi.org/10.1103/PhysRev.32.110,"Theory connecting thermal fluctuations and resistance","Keep fluctuation claims within equilibrium assumptions"
5,fluctuation-dissipation,Ryogo Kubo — The fluctuation-dissipation theorem,1966,https://doi.org/10.1088/0034-4885/29/1/306,"Canonical review","Do not use theorem as universal metaphor outside near-equilibrium statistical physics"
6,cellular sensing,Sarah Harvey; Subhaneil Lahiri; Surya Ganguli — Universal energy–accuracy tradeoffs in nonequilibrium cellular sensing,2023,https://doi.org/10.1103/PhysRevE.108.014403,"Energy/accuracy tradeoffs depend on observer architecture","Nonequilibrium receptor operation does not automatically improve an ideal observer’s estimate"
7,brain energy,Attwell & Laughlin — An energy budget for signaling in the grey matter of the brain,2001,https://doi.org/10.1038/35094500,"Neural signaling energy budget","Do not translate ATP budgets into a Landauer cost per thought"
10,quantum erasure with side information,del Rio et al. — The thermodynamic meaning of negative entropy,2011,https://doi.org/10.1038/nature10123,"Quantum side information alters erasure work accounting","Highly specific quantum setting; not a free-energy loophole"
11,timekeeping,Paul Erker et al. — Autonomous Quantum Clocks: Does Thermodynamics Limit Our Ability to Measure Time?,2017,https://doi.org/10.1103/PhysRevX.7.031022,"Theory of clock accuracy and thermodynamic resources","Model-dependent bounds, not one universal clock law"
11,timekeeping,M. P. Woods et al. / experimental line — Measuring the Thermodynamic Cost of Timekeeping,2021,https://doi.org/10.1103/PhysRevX.11.021029,"Experimental nanoscale clock cost/accuracy relation","Later theory refines universality; describe the measured regime"
13,data-center electricity,International Energy Agency — Energy and AI,2025,https://www.iea.org/reports/energy-and-ai,"Global 2024 data-center electricity estimate and 2030 scenarios","Forecasts are scenarios, not constants; keep dates attached"
13,U.S. data-center electricity,Lawrence Berkeley National Laboratory — 2024 United States Data Center Energy Usage Report,2024,https://eta-publications.lbl.gov/sites/default/files/2024-12/lbnl-2024-united-states-data-center-energy-usage-report.pdf,"U.S. 2023 estimate and 2028 scenario range","Regional concentration matters more than global averages for grids"
14,IceCube,IceCube Collaboration — Detector facts and design,current,https://icecube.wisc.edu/science/icecube/,"86 strings / 5160 optical modules / cubic-kilometer observatory","Instrument specifications should be checked against current collaboration pages"
14,James Webb Space Telescope,NASA — Webb Sunshield,current,https://science.nasa.gov/mission/webb/webb-telescope-overview/webbs-sunshield/,"Five-layer sunshield and thermal architecture","Instrument temperatures vary by subsystem; avoid one-temperature shorthand"
14,Event Horizon Telescope,European Southern Observatory — Astronomers Capture First Image of a Black Hole,2019,https://www.eso.org/public/news/eso1907/,"Earth-scale VLBI and campaign logistics","Image is reconstructed inference, not ordinary optical photography"
14,Event Horizon Telescope,MIT Haystack Observatory — Event Horizon Telescope,current,https://www.haystack.mit.edu/astronomy/astronomy-projects/event-horizon-telescope/,"Petabyte-scale recordings and physical disk transport","Operational details vary by campaign"
15,black-hole entropy,Jacob D. Bekenstein — Black Holes and Entropy,1973,https://doi.org/10.1103/PhysRevD.7.2333,"Black-hole entropy / generalized second-law foundations","Original proposal precedes Hawking temperature calculation"
15,Hawking radiation,Stephen W. Hawking — Black hole explosions?,1974,https://doi.org/10.1038/248030a0,"Thermal radiation from black holes","Semiclassical result creates rather than settles the information problem"
15,information loss,Stephen W. Hawking — Breakdown of predictability in gravitational collapse,1976,https://doi.org/10.1103/PhysRevD.14.2460,"Original sharp information-loss argument","Modern quantum-gravity evidence has shifted consensus toward unitarity"
15,Page curve and islands,Almheiri; Hartman; Maldacena; Shaghoulian; Tajdini — The entropy of Hawking radiation,2021,https://doi.org/10.1103/RevModPhys.93.035002,"Review of island/Page-curve progress","Do not claim a complete experimentally verified microscopic solution"
16,life and thermodynamics,Erwin Schrödinger — What Is Life?,1944,https://archive.org/details/WhatIsLife-ErwinSchrodinger,"Historical negative-entropy framing","Use modern free-energy/entropy language rather than treating negative entropy as a substance"
16,nonequilibrium life,Jeremy L. England — Statistical physics of self-replication,2013,https://doi.org/10.1063/1.4818538,"Nonequilibrium constraints on self-replication","Does not prove life exists to maximize dissipation"
17,dark matter searches,U.S. Department of Energy Office of Science — Dark Matter,current,https://science.osti.gov/hep/Research/Dark-Matter,"Examples of multiple experimental search strategies","Nondetection excludes only the parameter space an experiment could probe"
