id,year,author_or_institution,title,source_type,book_use,url
boston-trial,2024,National Park Service,Boston Massacre Trial,Official historical article,"Chapter 1 chronology, charges, verdicts, and John Adams defense",https://home.nps.gov/articles/000/boston-massacre-trial.htm
crispus-attucks,2024,National Park Service,Crispus Attucks,Official biography,"Chapter 1 Attucks identity and later historical significance",https://www.nps.gov/people/crispus-attucks.htm
gnadenhutten-ohio,2024,National Park Service,The American Revolution in the Ohio Country,Official historical article,"Chapter 2 Gnadenhutten massacre context and frontier consequences",https://home.nps.gov/articles/000/american-revolution-in-the-ohio-country.htm
gnadenhutten-timeline,2024,National Park Service,Timeline: Moravian Lenape at Pilgerruh,Official timeline,"Chapter 2 mission-community displacement and return chronology",https://home.nps.gov/articles/000/timeline-moravian-lenape-at-pilgerruh.htm
harpes-tennessee,2018,Tennessee Historical Society,Micajah and Wiley Harpe,State historical encyclopedia,"Chapter 3 documented Harpe chronology separated from later folklore",https://tennesseeencyclopedia.net/entries/micajah-and-wiley-harpe/
hamilton-duel-loc,2024,Library of Congress,Today in History: July 11,Official historical article,"Chapter 4 Hamilton-Burr duel chronology and political setting",https://www.loc.gov/item/today-in-history/july-11/
hamilton-statement,1804,National Archives Founders Online,Statement on Impending Duel with Aaron Burr,Primary historical document,"Chapter 4 Hamilton's pre-duel position on dueling and intended conduct",https://founders.archives.gov/documents/Hamilton/01-26-02-0001-0241
fort-mims,2024,National Park Service,Fort Mims,Official historic place history,"Chapter 5 massacre chronology and Creek War context",https://www.nps.gov/places/fort-mims.htm
horseshoe-bend,2024,National Park Service,The Battle of Horseshoe Bend: Collision of Cultures,Official historical article,"Chapter 5 Jackson campaign, Creek conflict, and postwar land consequences",https://www.nps.gov/articles/the-battle-of-horseshoe-bend-collision-of-cultures-teaching-with-historic-places.htm
morgan-almanac,1832,National Museum of American History,Anti-Masonic Almanac 1832,Museum collection record,"Chapter 6 contemporary Anti-Masonic use of William Morgan's disappearance and party formation",https://americanhistory.si.edu/collections/object/nmah_318480
morgan-smithsonian,2023,Smithsonian Magazine,The Masonic Murder That Inspired the First Third Party in American Politics,Historical synthesis,"Chapter 6 Morgan affair and Anti-Masonic Party political afterlife",https://www.smithsonianmag.com/history/the-masonic-murder-that-inspired-the-us-first-third-party-180982495/
lovejoy-loc,2024,Library of Congress,Today in History: November 7,Official historical article,"Chapter 7 Elijah Lovejoy murder, destroyed presses, and abolitionist legacy",https://www.loc.gov/item/today-in-history/november-07/?loclr=fbloc
lovejoy-trial-loc,1838,Library of Congress,Trial of the Persons Indicted for the Murder of Elijah P. Lovejoy,Digitized primary source,"Chapter 7 legal aftermath and contemporary record",https://www.loc.gov/resource/rbcmisc.lst0098/?sp=1&st=gallery
carthage-jail,2024,National Park Service,Carthage Jail,Official historic place history,"Chapter 8 Smith murders and Carthage chronology",https://www.nps.gov/places/carthage-jail.htm
mormon-pioneer,2024,National Park Service,Mormon Pioneer National Historic Trail History and Culture,Official historical synthesis,"Chapter 8 succession-era migration and movement to the Great Basin",https://www.nps.gov/mopi/learn/historyculture/index.htm
pottawatomie-nps,2024,National Park Service,Constitution Hall and John Brown,Official historic place history,"Chapter 9 John Brown in Kansas and Pottawatomie context",https://www.nps.gov/places/constitution-hall-john-brown.htm
