id,chapter,year,author_or_institution,title,source_type,book_use,url
ano-1770-nps,1,1773,National Park Service,"Boston Tea Party Timeline",Federal historical interpretation,"Tea Act crisis, Body of the People, Dartmouth timeline, December 16 destruction of 342 tea chests.",https://home.nps.gov/articles/000/boston-tea-party-in-real-time.htm
ano-1780-ncc,2,1786,National Constitution Center,"George Washington to Henry Knox 1786-1787",Primary-document presentation,"Contemporary elite reaction to unrest associated with Shays' Rebellion and weakness of the Confederation; do not use as sole causal evidence for Constitution.",https://constitutioncenter.org/the-constitution/historic-document-library/detail/george-washington-to-henry-knox-1786-1787
ano-1790-nps,3,1794,National Park Service,"Whiskey Rebellion: Answers to Question 6",Federal historical interpretation,"Federal excise resistance, organized rebellion, and government response.",https://home.nps.gov/articles/whiskey-rebellion-answers-to-question-6.htm
ano-1800-ev,4,1800,Encyclopedia Virginia,"Gabriel's Conspiracy (1800)",Scholarly state encyclopedia,"Planned uprising, suppression, arrests, executions, and political aftermath; preserves distinction between plan and completed rebellion.",https://encyclopediavirginia.org/entries/gabriels-conspiracy-1800/
ano-1810-loc,5,1817,Library of Congress,"Prologue: The Civil Rights Act of 1964 — Colonization Controversy",Federal exhibition,"James Forten, Paul Cuffee, Philadelphia 1817 meeting, and Black rejection of colonization.",https://www.loc.gov/exhibits/civil-rights-act/prologue.html
ano-1820-rihs,6,1824,Rhode Island Historical Society,"Pawtucket Village and the Strike of 1824: The Origins of Class Conflict in Rhode Island",Historical bibliography / scholarly reference,"Early textile strike and origins of industrial class conflict in Rhode Island.",https://navigator.rihs.org/rhode-island-a-bibliography-of-its-history/pawtucket-village-and-the-strike-of-1824-the-origins-of-class-conflict-in-rhode-island/
ano-1830-npm,7,1835,Smithsonian National Postal Museum,"America's First Direct Mail Campaign",Federal museum interpretation,"American Anti-Slavery Society mail campaign, postal suppression, and national communications infrastructure as political battleground.",https://postalmuseum.si.edu/americas-first-direct-mail-campaign
ano-1840-nps,8,1848,National Park Service,"The Declaration of Sentiments",Federal historical interpretation,"Seneca Falls declaration, claims, signatories, and movement language.",https://www.nps.gov/articles/declaration-of-sentiments.htm
ano-1850-nps,9,1854,National Park Service,"God made me a man — not a slave: The Arrest of Anthony Burns",Federal historical interpretation,"Burns arrest, mass meetings, failed rescue, federal troops, return to slavery, and Massachusetts reaction.",https://www.nps.gov/articles/-god-made-me-a-man-not-a-slave-the-arrest-of-anthony-burns.htm
ano-1860-loc,10,1863,Library of Congress,"December 1862–October 1863 — The Civil War in America",Federal exhibition,"New York Draft Riots in wartime context, including anti-draft unrest and racist violence.",https://www.loc.gov/exhibits/civil-war-in-america/december-1862-october-1863.html
ano-1870-loc,11,1877,Library of Congress,"The great railroad strike of July 1877",Primary visual archive,"Contemporaneous illustrated scenes showing multi-city spread and state/militia response.",https://www.loc.gov/item/2007675388/
ano-1880-loc,12,1886,Library of Congress,"Haymarket Affair: Topics in Chronicling America",Federal research guide to primary newspapers,"Eight-hour movement, May 4 bombing, deaths, prosecutions, and trial chronology.",https://guides.loc.gov/chronicling-america-haymarket-affair
ano-1890-nps,13,1894,National Park Service,"The Strike of 1894",Federal historical interpretation,"Pullman company town, strike, ARU boycott, federal intervention, and labor-state conflict.",https://www.nps.gov/pull/learn/historyculture/the-strike-of-1894.htm
ano-1900-loc,14,1909,Library of Congress,"Today in History — November 22: Clara Lemlich and the Uprising of 20,000",Federal historical interpretation,"Cooper Union meeting, Lemlich, garment-worker general strike, workforce and settlement context.",https://www.loc.gov/item/today-in-history/november-22/
ano-1910-loc,15,1912,Library of Congress,"Unionization, Labor Strikes, and Child Labor",Federal collection essay,"Lawrence textile strike, women and children in workforce, wage reduction, and Bread and Roses context.",https://www.loc.gov/collections/songs-of-america/articles-and-essays/historical-topics/unionization/
ano-1920-loc,16,1927,Library of Congress,"Final public protests against execution of Sacco and Vanzetti",Primary visual archive,"Documented public protest on August 23, 1927; use with additional case scholarship for guilt/innocence dispute.",https://www.loc.gov/item/2006688023/
ano-1930-loc,17,1937,Library of Congress,"The Flint, Michigan, Sit-Down Strike",Federal business-history research guide,"44-day strike, occupation mechanics, GM settlement, and UAW growth context.",https://guides.loc.gov/this-month-in-business-history/february/flint-michigan-sit-down-strike
ano-1940-na,18,1941,National Archives,"Executive Order 8802: Prohibition of Discrimination in the Defense Industry",Primary federal document and interpretation,"Randolph's threatened march, Executive Order 8802, defense-industry nondiscrimination, and FEPC.",https://www.archives.gov/milestone-documents/executive-order-8802
ano-1950-nps,19,1955,National Park Service,"The Montgomery Bus Boycott",Federal historical interpretation,"Parks arrest, WPC/MIA organizing, leaflets, car pools, boycott endurance, Browder v. Gayle, and desegregation.",https://home.nps.gov/articles/montgomery-bus-boycott.htm
ano-1960-nps,20,1963,National Park Service,"The A.G. Gaston Motel and the Birmingham Civil Rights National Monument",Federal historical interpretation,"Project C strategy, SCLC/ACMHR headquarters, boycott, sit-ins, marches, injunction, arrests, and Children's Crusade context.",https://home.nps.gov/articles/ag-gaston-motel-birmingham-civil-rights-monument.htm
ano-1970-nmah,21,1977,Smithsonian National Museum of American History,"Sitting-in for disability rights: The Section 504 protests of the 1970s",Federal museum interpretation,"25-day San Francisco occupation, roughly 150 activists, logistical conditions, Black Panther support, April 28 signing, ADA lineage.",https://americanhistory.si.edu/explore/stories/sitting-disability-rights-section-504-protests-1970s
ano-1980-fda,22,1988,U.S. Food and Drug Administration,"The History of FDA's Role in Preventing the Spread of HIV/AIDS",Primary agency history,"ACT UP FDA protest, accelerated access/approval reforms, AZT, and patient participation in policy.",https://www.fda.gov/about-fda/fda-history-exhibits/history-fdas-role-preventing-spread-hivaids
ano-1990-uw,23,1999,University of Washington,"WTO History Project",University archive project,"Seattle protest planning, diverse coalition, disruption, participant interviews, labor role, and archival records.",https://depts.washington.edu/wtohist/
ano-2000-nmah,24,2006,Smithsonian National Museum of American History,"The Great American Boycott. 2006 Immigrants Rights Demonstration",Federal museum collection record,"H.R. 4437 response, estimated 3.5–5 million participants, more than 250 demonstrations in 43 states, May 1 boycott.",https://americanhistory.si.edu/collections/object/nmah_1321719
ano-2010-doj-system,25,2015,U.S. Department of Justice,"United States v. City of Ferguson",Primary federal civil-rights record,"Pattern-or-practice findings, unconstitutional policing/court practices, racial bias, revenue-driven enforcement, consent-decree context.",https://www.justice.gov/crt/case/united-states-v-city-ferguson
ano-2010-doj-two,25,2015,U.S. Department of Justice,"Justice Department Announces Findings of Two Civil Rights Investigations in Ferguson, Missouri",Primary federal announcement,"Keeps Wilson shooting investigation separate from systemic Ferguson police/court findings.",https://www.justice.gov/archives/opa/pr/justice-department-announces-findings-two-civil-rights-investigations-ferguson-missouri
ano-2020-doj,26,2023,U.S. Department of Justice,"Investigation of the City of Minneapolis and the Minneapolis Police Department",Primary federal pattern-or-practice report,"Post-George-Floyd systemic findings on MPD and Minneapolis; use for institutional aftermath rather than as proof of every movement claim.",https://www.justice.gov/d9/press-releases/attachments/2023/06/16/minneapolis_findings_report_2023.06.15_0.pdf
ano-market-kauffman,market,2018,University of California Press,"How to Read a Protest: The Art of Organizing and Resistance",Publisher page,"Nearby market title focused on how major demonstrations work, beginning with 1963; supports differentiation scan without universal novelty claim.",https://www.ucpress.edu/books/how-to-read-a-protest/epub-pdf
ano-market-browne,market,2025,Gloria J. Browne-Marshall / Beacon Press,"A Protest History of the United States",Nearby trade history,"Nearby broad protest history organized thematically across a longer historical span; compare structure and scope before marketing originality.",https://www.penguinrandomhouse.com/books/770181/a-protest-history-of-the-united-states-by-gloria-j-browne-marshall/9780807010815/
