id,year,author_or_institution,title,source_type,book_use,url
hill-ttt-2025,2025,The Telepathy Tapes,"A Volunteer’s Passage to the Hill",primary-media-report,"Documents use of the term the Hill and claims made around it; not evidence that the claimed mechanism exists",https://thetelepathytapes.com/podcast/s1-e11
hill-koray-2026,2026,The Telepathy Tapes,"Koray and The Hill | Talk Tracks",primary-media-report,"Documents a 2026 Hill account and the interpretive claims attached to it; report layer only",https://podcasts.apple.com/us/podcast/koray-and-the-hill-talk-tracks/id1766382649?i=1000747988498
hill-kane-2026,2026,The Telepathy Tapes,"Peter and Laura Kane: A nonspeaker answers your questions | Talk Tracks",primary-media-report,"Documents a nonspeaker-associated account describing telepathy and the Hill; report layer only",https://podfollow.com/the-telepathy-tapes/episode/196658dfb95cc83d1d38bda0faf4c74f83030a75/view
schlosser-2026,2026,"Schlosser RW; Shane H; Bryant L; Beals K; Todd J; Lang R; Skinner S; Hemsley B","Systematic Review of Authorship in Rapid Prompting Method, Spelling to Communicate, and Variants: Outcomes, Significance and Clinical Implications",systematic-review,"Current evidence boundary for controlled empirical authorship demonstrations in RPM S2C and variants",https://doi.org/10.1007/s40489-026-00569-7
jaswal-2020,2020,"Jaswal VK; Wayne A; Golino H","Eye-tracking reveals agency in assisted autistic communication",peer-reviewed-study,"Anticipatory gaze and timing evidence in nine experienced nonspeaking letterboard users; not a blinded message-passing authorship test",https://doi.org/10.1038/s41598-020-64553-9
asha-fc-2018,2018,American Speech-Language-Hearing Association,"Facilitated Communication (FC) Position Statement",professional-position,"Professional evidence assessment and harms/authorship position on facilitated communication",https://www.asha.org/policy/ps2018-00352/
asha-rpm-2018,2018,American Speech-Language-Hearing Association,"Rapid Prompting Method (RPM) Position Statement",professional-position,"Professional position on prompt dependency scientific validity and authorship concerns in RPM and related facilitator-dependent methods",https://www.asha.org/policy/ps2018-00351/
schlosser-fc-2014,2014,"Schlosser RW; Balandin S; Hemsley B; Iacono T; Probst P; von Tetzchner S","Facilitated communication and authorship: a systematic review",systematic-review,"Controlled authorship evidence history for facilitated communication",https://doi.org/10.3109/07434618.2014.971490
burgess-1998,1998,"Burgess CA; Kirsch I; Shane H; Niederauer KL; Graham SM; Bacon A","Facilitated Communication as an Ideomotor Response",peer-reviewed-study,"Demonstrates sincere facilitated output tracking facilitator-only information and links the phenomenon to ideomotor responding",https://doi.org/10.1111/1467-9280.00013
asha-aac,2026,American Speech-Language-Hearing Association,"Augmentative and Alternative Communication (AAC) Practice Portal",clinical-reference,"AAC definitions individualized access modes zero-exclusion framing and partner/environment considerations",https://www.asha.org/Practice-Portal/Professional-Issues/Augmentative-and-Alternative-Communication/
asha-autism,2026,American Speech-Language-Hearing Association,"Autism and Autism Spectrum Disorder Practice Portal",clinical-reference,"Separates speech difficulties from language ability and documents multimodal AAC considerations",https://www.asha.org/practice-portal/clinical-topics/autism/
gordon-bartsch-2026,2026,"Gordon I; Bartsch RP","Correlates of interpersonal physiological synchrony and sources of empirical heterogeneity",review,"Current review of interpersonal physiological synchrony and ambiguity of its psychological interpretation",https://doi.org/10.1038/s44159-026-00535-4
hakim-2023,2023,"Hakim U; De Felice S; Pinti P; Zhang X; Noah JA; Ono Y; Burgess PW; Hamilton A; Hirsch J; Tachtsidis I","Quantification of inter-brain coupling: A review of current methods used in haemodynamic and electrophysiological hyperscanning studies",systematic-review,"Methods heterogeneity and interpretation limits in inter-brain coupling research",https://doi.org/10.1016/j.neuroimage.2023.120354
berni-2026,2026,"Berni T et al.","Together we sync: a systematic qualitative and quantitative review of fMRI hyperscanning studies",systematic-review,"Shared-input and design challenges in interpreting inter-brain coupling",https://pubmed.ncbi.nlm.nih.gov/41296680/
brainnet-2019,2019,"Jiang L; Stocco A; Losey DM; Abernethy JA; Prat CS; Rao RPN et al.","BrainNet: A Multi-Person Brain-to-Brain Interface for Direct Collaboration Between Brains",peer-reviewed-study,"Reality check for engineered brain-to-brain transfer: explicit EEG encoding electronic transport and TMS delivery",https://doi.org/10.1038/s41598-019-41895-7
nimh-meg,2026,National Institute of Mental Health,"Magnetoencephalography (MEG) Core Facility",government-reference,"Measurement scale and instrumentation for brain-generated magnetic fields outside the head",https://www.nimh.nih.gov/research/research-conducted-at-nimh/research-areas/research-support-services/meg
buzsaki-2012,2012,"Buzsáki G; Anastassiou CA; Koch C","The origin of extracellular fields and currents — EEG, ECoG, LFP and spikes",review,"Biophysical origin and interpretation of endogenous brain electric fields and electrophysiological signals",https://doi.org/10.1038/nrn3241
anastassiou-2011,2011,"Anastassiou CA; Perin R; Markram H; Koch C","Ephaptic coupling of cortical neurons",peer-reviewed-study,"Evidence that local extracellular fields can influence nearby cortical neurons under experimental conditions; not evidence of cross-person coupling",https://doi.org/10.1038/nn.2727
wang-2019,2019,"Wang CX; Hilburn IA; Wu D-A; Mizuhara Y; Cousté CP; Abrahams JNH; Bernstein SE; Matani A; Shimojo S; Kirschvink JL","Transduction of the Geomagnetic Field as Evidenced from alpha-Band Activity in the Human Brain",peer-reviewed-study,"Reports repeatable EEG alpha responses to specific controlled Earth-strength magnetic-field rotations; does not establish conscious magnetic perception or telepathy",https://doi.org/10.1523/ENEURO.0483-18.2019
foley-2011,2011,"Foley LE; Gegear RJ; Reppert SM","Human cryptochrome exhibits light-dependent magnetosensitivity",peer-reviewed-study,"Shows human CRY2 can function in a magnetosensitive Drosophila assay; molecular plausibility is not a demonstrated human magnetic sense",https://doi.org/10.1038/ncomms1364
matthews-2024,2024,"Matthews N et al.","Stochastic resonance in the sensory systems and its applications in neural prosthetics",review,"Evidence that appropriate noise can improve weak-signal detection in some sensory systems; constrains rather than proves weak-signal hypotheses",https://doi.org/10.1016/j.clinph.2024.07.004
