source_id,chapter,accessed_date,publication_date,author_or_institution,title,source_type,claim_or_use,url,notes
gfs01-001,1,2026-09-06,2007-01-09,Apple,"Apple Reinvents the Phone with iPhone",Primary product announcement,"2007 iPhone introduction; combination of phone, iPod, internet communicator; Multi-Touch and software-defined interface",https://www.apple.com/newsroom/2007/01/09Apple-Reinvents-the-Phone-with-iPhone/,"Use for dated product capabilities, not for claims about later social effects."
gfs01-002,1,2026-09-06,2017-09-12,Apple,"The future is here: iPhone X",Primary product announcement,"All-screen design, removal of Home button, Face ID, TrueDepth camera, and Apple's stated all-display design direction",https://www.apple.com/newsroom/2017/09/the-future-is-here-iphone-x/,"Company language is useful for product intent; do not treat marketing claims as independent evidence of cultural impact."
gfs02-001,2,2026-09-06,2011-10-04,Apple,"Apple Launches iPhone 4S, iOS 5 & iCloud",Primary product announcement,"Siri, improved camera, iCloud, Notification Center and the expansion of the phone as mediator and personal archive",https://www.apple.com/newsroom/2011/10/04Apple-Launches-iPhone-4S-iOS-5-iCloud/,"Supports dated capability claims only."
gfs02-002,2,2026-09-06,2014-09-09,Apple,"Apple Announces Apple Pay",Primary product announcement,"Payment joined communication, navigation, media and identity on the same carried device",https://www.apple.com/newsroom/2014/09/09Apple-Announces-Apple-Pay/,"Use for launch mechanics and timing; subsequent adoption is a separate empirical question."
gfs03-001,3,2026-09-06,2008-07-10,Apple,"iPhone 3G on Sale Tomorrow",Primary product announcement,"App Store launch with more than 500 native applications; wireless discovery, purchase and installation",https://www.apple.com/newsroom/2008/07/10iPhone-3G-on-Sale-Tomorrow/,"Supports the platform-distribution history."
gfs03-002,3,2026-09-06,2009-11-04,Apple,"Apple Announces Over 100,000 Apps Now Available on the App Store",Primary product announcement,"Scale of App Store, Push Notifications, and In App Purchase by late 2009",https://www.apple.com/newsroom/2009/11/04Apple-Announces-Over-100-000-Apps-Now-Available-on-the-App-Store/,"Apple reported more than two billion push notifications sent by this date; company figure."
gfs04-001,4,2026-09-06,2015-07-13,"Cary Stothart; Ainsley Mitchum; Courtney Yehnert","The attentional cost of receiving a cell phone notification",Laboratory experiment,"Notifications can disrupt performance on an attention-demanding task even without phone interaction",https://doi.org/10.1037/xhp0000100,"Narrow experimental evidence; not a universal estimate of real-world harm."
gfs04-002,4,2026-09-06,2018-06-04,Apple,"iOS 12 introduces new features to reduce interruptions and manage Screen Time",Primary product announcement,"Apple's later notification controls, activity reports, pickups and Screen Time management",https://www.apple.com/uk/newsroom/2018/06/ios-12-introduces-new-features-to-reduce-interruptions-and-manage-screen-time/,"Shows product response to user-management needs, not proof of prior deliberate addiction engineering."
gfs05-001,5,2026-09-06,2012-01-01,"Antti Oulasvirta; Tye Rattenbury; Lingyi Ma; Eeva Raita","Habits make smartphone use more pervasive",Field/logging research,"Brief repetitive checking habits and informational rewards; checking can spur additional device use",https://doi.org/10.1007/s00779-011-0412-2,"Authors distinguish habitual annoyance from addiction; useful counterweight to stronger rhetoric."
gfs05-002,5,2026-09-06,2009-09-28,Apple,"Apple’s App Store Downloads Top Two Billion",Primary product announcement,"Rapid expansion of mobile software supply and categories during the early App Store period",https://www.apple.com/newsroom/2009/09/28Apples-App-Store-Downloads-Top-Two-Billion/,"Company download and app-count figures; use as scale markers."
