id,year,author_or_institution,title,source_type,book_use,url
S01,2024,Charlie Snell; Jaehoon Lee; Kelvin Xu; Aviral Kumar,Scaling LLM Test-Time Compute Optimally can be More Effective than Scaling Model Parameters,academic paper,Ch 1-3; Ch 25 test-time compute and adaptive allocation; Notes: Primary technical source for inference-time scaling; emphasizes task-dependent optimal allocation rather than universal benefit from more compute.,https://arxiv.org/abs/2408.03314
S02,2025,Stanford HAI,Artificial Intelligence Index Report 2025 — Research and Development,institutional report,Ch 1-3; Ch 14-16 inference cost and hardware trends; Notes: Reports rapid declines in cost to reach fixed benchmark performance and continued frontier-model premiums; measurements are dated and should be refreshed in later editions.,https://hai.stanford.edu/ai-index/2025-ai-index-report/research-and-development
S03,2023,Erik Brynjolfsson; Danielle Li; Lindsey R. Raymond,"Generative AI at Work, NBER Working Paper 31161",working paper,Ch 6-8; Ch 12; Ch 18 productivity and novice effects; Notes: Study of 5179 customer-support agents; useful for heterogeneity and skill-compression mechanism.,https://www.nber.org/papers/w31161
S04,2023,Fabrizio Dell'Acqua et al.,Navigating the Jagged Technological Frontier: Field Experimental Evidence of the Effects of Artificial Intelligence on Knowledge Worker Productivity and Quality,working paper,Ch 7-11; Ch 19; Ch 25 jagged capability frontier; Notes: Field experiment with knowledge workers; central counterweight to blanket productivity claims.,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4573321
S05,2025,Joel Becker; Nate Rush; Beth Barnes; David Rein,Measuring the Impact of Early-2025 AI on Experienced Open-Source Developer Productivity,randomized controlled trial,Ch 7-9; Ch 12; Ch 25 measured versus perceived productivity; Notes: Experienced developers expected speedups but were slower in the studied setting; highly relevant falsification evidence.,https://metr.org/Early_2025_AI_Experienced_OS_Devs_Study-paper.pdf
S06,2025,Hao-Ping Lee et al.,The Impact of Generative AI on Critical Thinking: Self-Reported Reductions in Cognitive Effort and Confidence Effects From a Survey of Knowledge Workers,peer-reviewed conference paper,Ch 8-10; Ch 19-20 verification and cognitive effort; Notes: CHI 2025; survey of 319 knowledge workers and 936 examples. Self-reported evidence; do not overclaim permanent cognitive effects.,https://www.microsoft.com/en-us/research/publication/the-impact-of-generative-ai-on-critical-thinking-self-reported-reductions-in-cognitive-effort-and-confidence-effects-from-a-survey-of-knowledge-workers/
S07,2025,International Labour Organization,Generative AI and Jobs: A Refined Global Index of Occupational Exposure,working paper,Ch 17-19; Ch 21 labor exposure and global distribution; Notes: Task-level global exposure framework; emphasizes transformation over simple job replacement.,https://www.ilo.org/publications/generative-ai-and-jobs-refined-global-index-occupational-exposure
S08,2024,Mauro Cazzaniga et al.,"Gen-AI: Artificial Intelligence and the Future of Work, IMF Staff Discussion Note 2024/001",institutional research,Ch 17-18; Ch 21 macro labor and inequality; Notes: Useful for differing exposure and complementarity across advanced and developing economies.,https://www.imf.org/en/publications/staff-discussion-notes/issues/2024/01/14/gen-ai-artificial-intelligence-and-the-future-of-work-542379
S09,2025,International Energy Agency,Energy and AI,institutional report,"Ch 15-16; Ch 21; Ch 24-25 data centres, grids, energy demand and scenarios; Notes: Primary physical-infrastructure source. Includes multiple demand scenarios and explicit uncertainty; do not treat the base case as destiny.",https://www.iea.org/reports/energy-and-ai
S10,2025,World Bank,Digital Progress and Trends Report 2025: Strengthening AI Foundations,institutional report,"Ch 13; Ch 17; Ch 21; Ch 24 global AI divide and four foundations; Notes: Frames inclusive AI capacity through connectivity, compute, context and competency; useful for national distribution analysis.",https://www.worldbank.org/en/publication/dptr2025-ai-foundations/report
