id,year,author_or_institution,title,source_type,book_use,url
nimh-psychosis,2026,National Institute of Mental Health,"Understanding Psychosis",government_health,"Terminology boundary: clinical psychosis versus metaphorical collective reality-testing failure",https://www.nimh.nih.gov/health/publications/understanding-psychosis
asch-conformity,1956,Solomon E. Asch,"Studies of Independence and Conformity: I. A Minority of One Against a Unanimous Majority",classic_experiment,"Chapter 1: independence and conformity under unanimous group pressure",https://doi.org/10.1037/h0093718
capuano-chekroun-conformity,2024,Carla Capuano; Peggy Chekroun,"A Systematic Review of Research on Conformity",systematic_review,"Chapters 1-2: modern conformity evidence and boundary conditions",https://pmc.ncbi.nlm.nih.gov/articles/PMC12372704/
pluralistic-ignorance-review,2026,Multiple authors,"The Cultural Evolution of Pluralistic Ignorance",research_review,"Chapters 2 and 11: preference falsification; spirals of silence; misperceived norms",https://pmc.ncbi.nlm.nih.gov/articles/PMC12913015/
robertson-delrosario-vanbavel,2024,Claire E. Robertson; Kareena S. del Rosario; Jay J. Van Bavel,"Inside the Funhouse Mirror Factory: How Social Media Distorts Perceptions of Norms",research_review,"Chapter 3: online norm distortion and false perceptions of prevalence",https://doi.org/10.1016/j.copsyc.2024.101918
rathje-accuracy-social,2023,Steve Rathje et al.,"Accuracy and Social Motivations Shape Judgements of (Mis)Information",peer_reviewed_experiment,"Chapter 3: accuracy incentives versus social motivations",https://www.nature.com/articles/s41562-023-01540-w
vlasceanu-16-countries,2023,Madalina Vlasceanu et al.,"Understanding and Combatting Misinformation Across 16 Countries on Six Continents",peer_reviewed_experiment,"Chapter 3: cross-national truth discernment and accuracy prompts",https://www.nature.com/articles/s41562-023-01641-6
pennycook-inoculation,2024,Gordon Pennycook et al.,"Inoculation and Accuracy Prompting Increase Accuracy Discernment in Combination but Not Alone",peer_reviewed_experiment,"Chapter 3 and 16: limits and combinations of misinformation interventions",https://www.nature.com/articles/s41562-024-02023-2
cosgrove-bahr-identity,2026,Tylor Cosgrove; Mark Bahr,"Social Identities Increase Susceptibility to Congruent Misinformation: Testing Accuracy-Norm and Identity Metacognitive Interventions",peer_reviewed_experiment,"Chapters 3-4: identity-congruent misinformation and intervention limits",https://doi.org/10.1002/acp.70283
news-judgment-meta,2025,Multiple authors,"Spotting False News and Doubting True News: A Systematic Review and Meta-analysis of News Judgements",meta_analysis,"Chapter 3: evidence that people can often discern true from false news when asked",https://www.nature.com/articles/s41562-024-02086-1
lorenz-social-influence,2011,Jan Lorenz; Heiko Rauhut; Frank Schweitzer; Dirk Helbing,"How Social Influence Can Undermine the Wisdom of Crowd Effect",peer_reviewed_experiment,"Chapters 1 and 14: correlated estimates; diversity loss; confidence without improved accuracy",https://pmc.ncbi.nlm.nih.gov/articles/PMC3107299/
becker-network-wisdom,2017,Joshua Becker; Devon Brackbill; Damon Centola,"Network Dynamics of Social Influence in the Wisdom of Crowds",peer_reviewed_experiment,"Chapters 1 and 14 counterevidence: decentralized interaction can improve collective estimates",https://pmc.ncbi.nlm.nih.gov/articles/PMC5495222/
interactive-crowds,2019,Multiple authors,"Social Learning Strategies Regulate the Wisdom and Madness of Interactive Crowds",peer_reviewed_experiment,"Chapter 14: task uncertainty; group size; social learning conditions",https://www.nature.com/articles/s41562-018-0518-x
