id,chapters,source_type,author_or_org,title,date,url,claim_supported,caveat
TA001,"1,13,20",book,Everett M. Rogers,Diffusion of Innovations 5th ed.,2003,,"Adopter categories; diffusion through communication channels and social systems","Framework describes diffusion timing; does not by itself establish adopters as causal co-producers"
TA002,"1,7,20",journal,"Michael L. Katz and Carl Shapiro","Network Externalities Competition and Compatibility",1985,,"Network value and compatibility can depend on installed base and expectations","Network effects should not be asserted for products whose value does not increase with participation"
TA003,"7,20",journal,W. Brian Arthur,"Competing Technologies Increasing Returns and Lock-In by Historical Events",1989,,"Increasing returns can produce path dependence and lock-in","Historical lock-in does not prove an inferior technology always wins"
TA004,2,primary,Pebble Technology,"Pebble E-Paper Watch for iPhone and Android — Kickstarter",2012,https://www.kickstarter.com/projects/getpebble/pebble-e-paper-watch-for-iphone-and-android,"$10,266,845 pledged by 68,929 backers against $100,000 goal","Crowdfunding support is not equivalent to durable retail demand"
TA005,"3,10",primary,Tesla,"The Secret Tesla Motors Master Plan",2006-08-02,https://www.tesla.com/secret-master-plan,"Tesla explicitly described entering at high end and using revenue toward lower-priced products","Company strategy statement is evidence of intended mechanism not proof that revenue alone caused later affordability"
TA006,"3,10,11",primary,Tesla Investor Relations,"Tesla Motors Begins Regular Production of 2008 Tesla Roadster",2008-03-17,https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster,"Roadster regular production and more than 900 reservations","Corporate press release; use for dated operational facts not independent evaluation"
TA007,"3,11",primary,Tesla Investor Relations,"Tesla Motors Completes All Regulatory Approvals and Sets Schedule to Begin Production",2008-01-22,https://ir.tesla.com/press-release/tesla-motors-completes-all-regulatory-approvals-and-sets,"Roadster regulatory approvals and interim transmission detail","Illustrates unfinished early production; company source"
TA008,"3,9,10",institution,International Energy Agency,"Clean Energy Innovation — Moving down the learning curve",2020,https://www.iea.org/reports/clean-energy-innovation/innovation-needs-in-the-sustainable-development-scenario,"Learning curves combine learning-by-researching doing standardization collaboration and scale; historical PV and Li-ion learning rates","Learning rates are empirical historical relationships and can change"
TA009,9,journal,Theodore P. Wright,"Factors Affecting the Cost of Airplanes",1936,,"Foundational empirical production learning-curve work","Historical aircraft evidence should not be generalized mechanically to every technology"
TA010,"4,5",journal,Eric von Hippel,"Sticky Information and the Locus of Problem Solving",1994,,"Problem-solving information can be costly to transfer and can locate innovation near users","Does not imply all user feedback is high quality"
