id,year,author_or_institution,title,source_type,book_use,url
hunger-switch-001,2021,National Institute on Aging,Exendin-4: From lizard to laboratory...and beyond,Research-institute history article,"Ch 1: Jean-Pierre Raufman's early 1980s Gila monster venom research and John Eng's 1992 isolation of exendin-4 at a VA hospital",https://www.nia.nih.gov/news/exendin-4-lizard-laboratory-and-beyond
hunger-switch-002,2024,Military.com,From Lizard Venom to Ozempic: How VA Research Changed Medicine,Journalism,"Ch 1: VA hospital setting of Eng's discovery, the multi-year struggle to interest a drug company, and Byetta (exenatide) reaching market in 2005 as the first exendin-4-derived drug",https://www.military.com/benefits/veterans-health-care/lizard-venom-ozempic-how-va-research-changed-medicine.html
hunger-switch-004,2024,Novo Nordisk Fonden,Our history,Company/foundation history page,"Ch 2: August Krogh's 1922 trip to Toronto to meet Frederick Banting and Charles Best, and the 1923 founding of Nordisk Insulinlaboratorium with H.C. Hagedorn and August Kongsted under a foundation structure",https://novonordiskfonden.dk/en/who-we-are/our-history/
hunger-switch-005,2024,Wikipedia,August Krogh,Encyclopedia biography,"Ch 2: August Krogh's background as a Nobel laureate physiologist and the circumstances of the Toronto detour",https://en.wikipedia.org/wiki/August_Krogh
hunger-switch-006,2023,American Diabetes Association (Diabetes journal),Glucagon as the First Incretin: Objects (in the Rearview Mirror) Are Closer Than They Appear,Academic journal article,"Ch 3: history of the incretin concept, including Jean La Barre's 1932 coinage of 'incretin' and the Bayliss and Starling 1902 gut-hormone experiments",https://diabetesjournals.org/diabetes/article/72/12/1739/153849/Glucagon-as-the-First-Incretin-Objects-in-the
hunger-switch-007,2019,PMC (Peptides / academic review),From the Incretin Concept and the Discovery of GLP-1 to Today's Diabetes Therapy,Academic review article,"Ch 3: timeline from the 1960s proof of the incretin effect through the 1983-1987 discovery of GLP-1 and GIP",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6497767/
hunger-switch-008,2017,Drugs.com,Ozempic (semaglutide) FDA Approval History,Regulatory history summary,"Ch 4: FDA approval of Ozempic for type 2 diabetes on December 5, 2017",https://www.drugs.com/history/ozempic.html
hunger-switch-009,2021,New England Journal of Medicine,Once-Weekly Semaglutide in Adults with Overweight or Obesity,Randomized controlled trial (STEP 1),"Ch 5: STEP 1 trial results showing 14.9% mean weight loss with semaglutide plus lifestyle intervention",https://www.nejm.org/doi/full/10.1056/NEJMoa2032183
hunger-switch-010,2021,Drugs.com,Wegovy (semaglutide) FDA Approval History,Regulatory history summary,"Ch 5: FDA approval of Wegovy for chronic weight management on June 4, 2021; Ch 11: the March 2024 cardiovascular-risk indication for Wegovy that opened a path for some Medicare Part D coverage",https://www.drugs.com/history/wegovy.html
hunger-switch-011,2023,Novo Nordisk,Semaglutide 7.2 mg sc achieved 20.7% weight loss (STEP UP trial),Company clinical-trial announcement,"Ch 5: STEP UP trial results on a higher 7.2 mg dose reaching 20.7% average weight loss",https://www.novonordisk.com/news-and-media/news-and-ir-materials/news-details.html?id=915087
hunger-switch-012,2022,"Elon Musk (X/Twitter, archived post)",Wegovy reply to a follower question about his appearance,Primary social-media post,"Ch 6: Musk's October 2022 tweet crediting fasting and Wegovy, treated as the viral origin point of celebrity GLP-1 culture",https://x.com/elonmusk/status/1576367983051489281
hunger-switch-013,2024,Axios,Elon Musk dubs himself 'Ozempic Santa' as weight-loss drugs go mainstream,Journalism,"Ch 6: continued celebrity normalization of GLP-1 use through late 2024",https://www.axios.com/2024/12/26/elon-musk-ozempic-mounjaro-weight-loss
hunger-switch-014,2025,Nature (Nutrition & Diabetes),"Food noise: definition, measurement, and future research directions",Academic review article,"Ch 6: clinical definition and patient-reported description of 'food noise' as intrusive, repetitive thoughts about eating",https://www.nature.com/articles/s41387-025-00382-x
hunger-switch-015,2025,Foley & Lardner LLP,GLP-1 Drugs: FDA Removes Semaglutide from the Drug Shortage List,Legal/regulatory analysis,"Ch 7: FDA declaring the tirzepatide shortage resolved in December 2024 and the semaglutide shortage resolved in February 2025",https://www.foley.com/insights/publications/2025/02/glp-1-drugs-fda-removes-semaglutide-from-drug-shortage-list/
hunger-switch-016,2026,U.S. Food and Drug Administration,FDA clarifies policies for compounders as national GLP-1 supply begins to stabilize,Agency statement,"Ch 7 and Ch 12: FDA's official position and enforcement posture toward compounding pharmacies as branded supply recovered",https://www.fda.gov/drugs/drug-alerts-and-statements/fda-clarifies-policies-compounders-national-glp-1-supply-begins-stabilize
