id,year,author_or_institution,title,source_type,book_use,url
T001,2017,"Pang Wei Koh; Percy Liang","Understanding Black-box Predictions via Influence Functions",peer-reviewed conference paper,"Chapters 2-3: training-point influence as a counterfactual sensitivity question",https://arxiv.org/abs/1703.04730
T002,2020,"Garima Pruthi; Frederick Liu; Satyen Kale; Mukund Sundararajan","Estimating Training Data Influence by Tracing Gradient Descent",peer-reviewed conference paper,"Chapters 2-4: checkpoint-based influence tracing through gradient descent",https://proceedings.neurips.cc/paper/2020/hash/e6385d39ec9394f2f3a354d9d2b88eec-Abstract.html
T003,2020,"Swabha Swayamdipta; Roy Schwartz; Nicholas Lourie; Yizhong Wang; Hannaneh Hajishirzi; Noah A. Smith; Yejin Choi","Dataset Cartography: Mapping and Diagnosing Datasets with Training Dynamics",peer-reviewed conference paper,"Chapters 5-6: example trajectories across training; easy ambiguous and hard-to-learn regions",https://aclanthology.org/2020.emnlp-main.746/
T004,2021,"Nicholas Carlini; Florian Tramèr; Eric Wallace; Matthew Jagielski; Ariel Herbert-Voss; Katherine Lee; Adam Roberts; Tom Brown; Dawn Song; Úlfar Erlingsson; Alina Oprea; Colin Raffel","Extracting Training Data from Large Language Models",peer-reviewed security paper,"Chapters 9 and 17: worst-case memorization and training-data extraction from GPT-2",https://www.usenix.org/system/files/sec21-carlini-extracting.pdf
T005,2022,"Alethea Power; Yuri Burda; Harri Edwards; Igor Babuschkin; Vedant Misra","Grokking: Generalization Beyond Overfitting on Small Algorithmic Datasets",research paper,"Chapters 1 4 and 8: delayed generalization after training-set fit in specific algorithmic settings",https://arxiv.org/abs/2201.02177
T006,2022,"Catherine Olsson et al.","In-context Learning and Induction Heads",technical research report,"Chapter 7: developmental association between induction-head formation and in-context-learning phase change in small transformers",https://transformer-circuits.pub/2022/in-context-learning-and-induction-heads/
T007,2023,"Sung Min Park; Kristian Georgiev; Andrew Ilyas; Guillaume Leclerc; Aleksander Madry","TRAK: Attributing Model Behavior at Scale",peer-reviewed conference paper,"Chapters 3 10 and 19: scalable training-data attribution with projected gradient features",https://arxiv.org/abs/2303.14186
T008,2023,"Roger Grosse; Juhan Bae; Cem Anil; Nelson Elhage; Alex Tamkin; Amirhossein Tajdini; Benoit Steiner; Dustin Li; Esin Durmus; Ethan Perez; Evan Hubinger; Kamilė Lukošiūtė; Karina Nguyen; Nicholas Joseph; Sam McCandlish; Jared Kaplan; Samuel R. Bowman; Stella Biderman","Studying Large Language Model Generalization with Influence Functions",technical research paper,"Chapters 3 and 10: influence analysis scaled to language models up to 52B parameters and its limitations",https://arxiv.org/abs/2308.03296
T009,2024,"Masaru Isonuma; Ivan Titov","Unlearning Traces the Influential Training Data of Language Models",peer-reviewed research paper,"Chapters 15 and 18: unlearning as an influence probe rather than a blanket erasure claim",https://arxiv.org/abs/2401.15241
T010,2024,"Xiaoyang Lin et al.","Token-wise Influential Training Data Retrieval for Large Language Models",peer-reviewed conference paper,"Chapters 3 and 19: efficient token-level influential-data retrieval",https://aclanthology.org/2024.acl-long.48/
T011,2025,Anthropic,"Tracing the Thoughts of a Large Language Model",technical research report,"Front matter and Chapters 7 19-20: circuit tracing and partial attribution graphs with explicit tool limitations",https://www.anthropic.com/research/tracing-thoughts-language-model
T012,2025,Anthropic,"Open-sourcing circuit tracing tools",technical research release,"Chapters 19-20: practical tooling for inspecting and intervening on internal computational traces",https://www.anthropic.com/research/open-source-circuit-tracing
T013,2026,Anthropic,"Diffing Models with Crosscoders",technical research report,"Chapters 11 and 14: model-difference analysis across architectures; changed feature does not establish origin",https://www.anthropic.com/research/diff-tool
T014,2026,Anthropic,"A Global Workspace in Language Models",technical research report,"Chapters 19-21: Jacobian-based internal-state measurement and intervention; not evidence of machine consciousness",https://www.anthropic.com/research/global-workspace
T015,2017,"Reza Shokri; Marco Stronati; Congzheng Song; Vitaly Shmatikov","Membership Inference Attacks Against Machine Learning Models",peer-reviewed security paper,"Chapter 17: privacy risk from inferring whether records participated in training",https://arxiv.org/abs/1610.05820
T016,2017,"James Kirkpatrick et al.","Overcoming catastrophic forgetting in neural networks",peer-reviewed journal paper,"Chapter 16: catastrophic forgetting and elastic weight consolidation",https://doi.org/10.1073/pnas.1611835114
T017,2019,"Amirata Ghorbani; James Zou","Data Shapley: Equitable Valuation of Data for Machine Learning",peer-reviewed conference paper,"Chapters 6 and 10: data value as marginal contribution rather than row count",https://proceedings.mlr.press/v97/ghorbani19c.html
T018,2024,"Evan Hubinger et al.","Sleeper Agents: Training Deceptive LLMs that Persist Through Safety Training",research paper,"Chapters 11-15: persistence of learned behavior through later safety training as a boundary case for suppression versus removal",https://arxiv.org/abs/2401.05566
T019,2026,"Simon Tong et al.","Why TRAK Works: Theoretical Foundations for Data Attribution",research paper,"Chapters 3 and 19: conditions under which approximate attribution can preserve useful influence rankings",https://arxiv.org/abs/2602.01312
T020,2019,"Margaret Mitchell; Simone Wu; Andrew Zaldivar; Parker Barnes; Lucy Vasserman; Ben Hutchinson; Elena Spitzer; Inioluwa Deborah Raji; Timnit Gebru","Model Cards for Model Reporting",peer-reviewed conference paper,"Chapters 22-23: model documentation as lineage context rather than a substitute for developmental evidence",https://arxiv.org/abs/1810.03993
