id,year,author_or_institution,title,source_type,book_use,url
rec-global-001,2024,United Nations Environment Programme,"Global Resources Outlook 2024",UN resource assessment,"Front matter; Chapters 1, 17, 18, 21, 23, and 27: global natural-resource extraction roughly tripled over the prior five decades and could rise another 60% from 2020 levels by 2060 without major change; use with the report's distributional inequality context, not as a universal anti-consumption claim.",https://www.unep.org/resources/Global-Resource-Outlook-2024
rec-hierarchy-001,2025,U.S. Environmental Protection Agency,"Sustainable Materials Management: Non-Hazardous Materials and Waste Management Hierarchy",Government guidance,"Chapters 1, 3, 10, 20, 22, and 27: source reduction and reuse rank above recycling/composting, followed by energy recovery, treatment, and disposal; grounds the ordering of questions without implying higher options always win lifecycle comparisons.",https://www.epa.gov/smm/sustainable-materials-management-non-hazardous-materials-and-waste-management-hierarchy
rec-hierarchy-002,2025,U.S. Environmental Protection Agency,"Recycling Basics and Benefits",Government guidance,"Chapters 1 and 27: EPA encourages reduction and reuse before recycling and defines recycling within a larger materials-management hierarchy.",https://www.epa.gov/recycle/recycling-basics-and-benefits
rec-waste-001,2024,United Nations Environment Programme,"Global Waste Management Outlook 2024",UN waste assessment,"Chapters 1, 22, and 27: municipal solid waste estimated at about 2.1 billion tonnes in 2023 and projected to about 3.8 billion tonnes by 2050 under prevailing trajectories; supports the argument that downstream processing alone cannot solve throughput growth.",https://www.unep.org/resources/global-waste-management-outlook-2024
rec-cd-001,2025,U.S. Environmental Protection Agency,"Construction and Demolition Debris: Material-Specific Data",Government data,"Chapter 5: U.S. construction and demolition debris generation estimated at about 600 million tons in 2018, more than twice municipal solid waste; demonstrates the scale of high-mass built stocks.",https://www.epa.gov/facts-and-figures-about-materials-waste-and-recycling/construction-and-demolition-debris-material
rec-cd-002,2025,U.S. Environmental Protection Agency,"Sustainable Management of Construction and Demolition Materials",Government guidance,"Chapters 5 and 6: preserving existing buildings, designing for adaptability, and optimizing components for disassembly and reuse are recognized C&D management strategies.",https://www.epa.gov/smm/sustainable-management-construction-and-demolition-materials
rec-iea-material-001,2019,International Energy Agency,"Material efficiency in clean energy transitions",Intergovernmental technical report,"Chapters 2, 5, 17, and 21: lifetime extension, renovation, steel reuse, material-efficient design and other strategies can reduce primary material demand in clean-energy transitions; use as systems evidence rather than a current policy forecast.",https://www.iea.org/reports/material-efficiency-in-clean-energy-transitions
rec-plastic-001,2022,Organisation for Economic Co-operation and Development,"Global Plastics Outlook: Economic Drivers, Environmental Impacts and Policy Options",Intergovernmental assessment,"Chapter 9: global plastics production estimated at 460 Mt and plastic waste at 353 Mt in 2019, with 9% ultimately recycled after losses; illustrates the gap between nominal recyclability and realized circulation.",https://www.oecd.org/en/publications/2022/02/global-plastics-outlook_a653d1c9.html
rec-plastic-002,2023,United Nations Environment Programme,"Turning off the Tap: How the world can end plastic pollution and create a circular economy",UN systems report,"Chapter 9: combines reduction of problematic/unnecessary plastic uses, redesign, reuse, and recycling; supports upstream intervention rather than recycling-only framing.",https://www.unep.org/resources/turning-off-tap-end-plastic-pollution-create-circular-economy
rec-ewaste-001,2024,International Telecommunication Union and UNITAR,"The Global E-waste Monitor 2024",UN/ITU statistical report,"Chapter 8: 62 billion kg of e-waste generated in 2022 and 22.3% documented as formally collected and recycled; supports the global e-waste scale and formal-recovery gap.",https://www.itu.int/en/ITU-D/Environment/Pages/Publications/The-Global-E-waste-Monitor-2024.aspx
